,X1,SiteName,SiteID,Date,ReleaseTime0,MinFrom0,SampleTime,SpC.us.cm_1,pH,TempH2O.C,Syringe,V.H2O.mL,V.Air.mL,Alk.ID,DOC.ID,NOTES,DOC_conc,Delta 13C,Alkalinity (meq/L)
1,1,Creston,Up,8/8/2019,10:11:00,NA,10:17:00,NA,NA,NA,VT005,70,70,D1329,A034,NA,1.97,-25.398,NA
2,2,Creston,Up,8/8/2019,10:11:00,NA,10:18:00,690,NA,13.6,VT007,70,70,NA,A046,NA,2.11,-23.619,NA
3,3,Creston,Up,8/8/2019,10:11:00,NA,10:21:00,692,NA,13.6,VT013,70,70,D2220,A021,syringe emptied,2.01,-24.271,NA
4,4,Creston,Up,8/8/2019,10:11:00,NA,10:36:00,689,NA,13.6,VT040,70,75,NA,A045,"written as ""75 mL"" in lab - assuming this means 75mL air added instead of 70",2.06,-24.766,NA
5,5,Creston,Up,8/8/2019,10:11:00,NA,10:46:00,687,NA,13.6,M017,70,70,D2283,A008,NA,4.28,-2.162,NA
6,6,Creston,Up,8/8/2019,10:11:00,NA,10:51:00,696,NA,13.7,VT018,70,70,NA,A069,NA,2.94,125.455,NA
7,7,Creston,Up,8/8/2019,10:11:00,NA,10:55:00,716,NA,13.7,VT045,70,70,NA,A019,NA,2.02,1009.793,NA
8,8,Creston,Up,8/8/2019,10:11:00,NA,10:58:00,734,NA,13.7,VT012,70,70,D1313,A031,NA,1.99,2043.874,NA
9,9,Creston,Up,8/8/2019,10:11:00,NA,11:01:00,764,NA,13.7,VT037,70,70,NA,A071,NA,2.58,2547.392,NA
10,10,Creston,Up,8/8/2019,10:11:00,NA,11:04:00,788,NA,13.7,VT010,70,70,D2333,A009,NA,2.03,4351.666,5.44
11,11,Creston,Up,8/8/2019,10:11:00,NA,11:07:00,813,NA,13.7,VT034,70,70,NA,A072,NA,2.32,4420.777,NA
12,12,Creston,Up,8/8/2019,10:11:00,NA,11:10:00,815,NA,13.8,M012,70,70,D1356,A070,peaked; starting to decline at 11:11,6.23,1789.344,NA
13,13,Creston,Up,8/8/2019,10:11:00,NA,11:13:00,812,NA,13.8,VT014,70,70,NA,A022,NA,1.97,4750.615,NA
14,14,Creston,Up,8/8/2019,10:11:00,NA,11:16:00,813,NA,13.8,VT050,70,70,D1357,A007,NA,2.13,4248.515,NA
15,15,Creston,Up,8/8/2019,10:11:00,NA,11:19:00,809,NA,13.8,M014,70,70,NA,A032,NA,5.26,1730.26,NA
16,16,Creston,Up,8/8/2019,10:11:00,NA,11:22:15,805,NA,13.8,VT033,70,70,NA,A067,Note delayed sample time,2.6,1851.469,NA
17,17,Creston,Up,8/8/2019,10:11:00,NA,11:26:00,799,NA,13.8,M004,70,80,D2374,A055,"had 80mL headspace, 70mL water",4.06,1775.654,NA
18,18,Creston,Up,8/8/2019,10:11:00,NA,11:31:00,790,NA,13.9,VT031,70,70,NA,A057,NA,2.13,2590.329,NA
19,19,Creston,Up,8/8/2019,10:11:00,NA,11:36:00,777,NA,13.9,VT023,70,70,NA,A043,cleaned bubbles off loggers,2.06,2174.705,NA
20,20,Creston,Up,8/8/2019,10:11:00,NA,11:41:00,772,NA,14,VT036,70,65,D1312,A060,had 65mL headspace,2.48,1523.596,5.4
21,21,Creston,Up,8/8/2019,10:11:00,NA,11:46:00,763,NA,14,VT028,70,70,NA,A059,NA,2.05,1616.633,NA
22,22,Creston,Up,8/8/2019,10:11:00,NA,11:51:00,757,NA,14.1,VT020,70,70,NA,A020,NA,1.97,1343.261,NA
23,23,Creston,Up,8/8/2019,10:11:00,NA,11:56:00,749,NA,14.1,VT025,70,70,D1301,A056,NA,1.99,1020.658,NA
24,24,Creston,Up,8/8/2019,10:11:00,NA,12:01:00,742,NA,14.2,VT038,70,70,NA,A058,NA,2.01,851.777,NA
25,25,Creston,Up,8/8/2019,10:11:00,NA,12:11:00,733,NA,14.2,M011,70,70,D1284,A048,NA,5.25,-23.692,NA
26,26,Creston,Up,8/8/2019,10:11:00,NA,12:21:00,725,NA,14.4,M020,70,70,NA,A011,NA,5.24,213.804,NA
27,27,Creston,Up,8/8/2019,10:11:00,NA,12:31:00,718,NA,14.5,M022,70,70,NA,A044,NA,5.71,140.865,NA
28,28,Creston,Up,8/8/2019,10:11:00,NA,12:41:00,712,NA,14.7,M024,70,70,D2216,A035,NA,5.08,112.489,5.16
29,29,Creston,Up,8/8/2019,10:11:00,NA,12:51:00,708,NA,14.8,M005,70,70,NA,A033,NA,6.13,65.094,NA
30,30,Creston,Up,8/8/2019,10:11:00,NA,13:01:00,703,NA,14.9,M029,70,70,NA,A047,NA,5.55,56.034,NA
31,31,Creston,Up,8/8/2019,10:11:00,NA,13:11:00,700,NA,15.1,M015,70,70,NA,A012,NA,5.2,47.306,NA
32,32,Creston,Up,8/8/2019,10:11:00,NA,13:21:00,696,NA,15.2,M013,70,70,D2346,A024,NA,4.59,32.589,NA
33,33,Creston,Up,8/8/2019,10:11:00,NA,13:31:00,695,NA,15.3,M006,70,70,NA,A036,NA,4.8,21.672,NA
34,34,Creston,Up,8/8/2019,10:11:00,NA,13:41:00,693,NA,15.4,M026,70,70,NA,A068,NA,3.57,29.29,NA
35,35,Creston,Up,8/8/2019,10:11:00,NA,13:51:00,690,NA,15.4,M028,70,70,D1198,A010,NA,5.14,3.914,5.24
36,36,Creston,Above0,8/8/2019,10:11:00,NA,12:16:00,NA,NA,NA,M030,70,70,NA,NA,"""048"" written next to field notes entry",NA,NA,NA
37,37,Creston,Down,8/8/2019,10:11:00,NA,11:26:00,643,7.98,NA,VT019,70,70,D1203,A027,NA,2.22,-15.117,5.04
38,38,Creston,Down,8/8/2019,10:11:00,NA,11:31:00,645,7.99,NA,VT021,70,70,D2328,A061,NA,2.32,8.123,NA
39,39,Creston,Down,8/8/2019,10:11:00,NA,11:36:00,648,8,NA,VT009,70,70,NA,A040,NA,2.11,59.303,NA
40,40,Creston,Down,8/8/2019,10:11:00,NA,11:41:00,654,8,NA,VT029,70,70,NA,A037,NA,2.13,131.923,NA
41,41,Creston,Down,8/8/2019,10:11:00,NA,11:44:00,658,8.01,NA,VT048,70,70,D1302,A063,NA,2.8,105.461,NA
42,42,Creston,Down,8/8/2019,10:11:00,NA,11:47:00,665,8.01,NA,VT006,70,70,NA,A049,NA,2.24,286.06,NA
43,43,Creston,Down,8/8/2019,10:11:00,NA,11:50:00,669,8.01,NA,VT004,70,70,D2294,A013,NA,2.09,264.691,5.24
44,44,Creston,Down,8/8/2019,10:11:00,NA,11:53:00,673,8.01,NA,VT011,70,70,NA,A001,NA,2.12,310.074,NA
45,45,Creston,Down,8/8/2019,10:11:00,NA,11:56:00,678,8.02,NA,VT017,70,70,D1336,A050,NA,2.12,353.319,NA
46,46,Creston,Down,8/8/2019,10:11:00,NA,11:59:00,681,8.02,NA,VT046,70,70,NA,A052,NA,2.15,442.461,NA
