"","X1","X1_1","SiteName","SiteID","ReleaseDate","ReleaseTime","gNaCl","gGlucose","SampleTime","SpC.us.cm","Syringe","ALK.ID","DOC.ID","NOTES","DOC_conc","Delta 13C"
"1",1,1,"Well","InjWell","8/10/2019",12:03:30,50,0.1,11:56:00,238.3,NA,NA,NA,"clearing well, pumpng for water to mix solutes. Temp=12.4",NA,NA
"2",2,2,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:00:00,241.5,"U018",NA,"WW009",NA,1.08,236.49
"3",3,3,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:16:45,5150,"U019","D1242","WW035","stopped sampleing at 12:17:00, spEC= 4630",0.74,7492.395
"4",4,4,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:18:00,4302,NA,NA,NA,NA,NA,NA
"5",5,5,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:24:00,2815,NA,NA,NA,NA,NA,NA
"6",6,6,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:26:30,2342,NA,NA,NA,NA,NA,NA
"7",7,7,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:30:55,1210,"U012",NA,"A106","end EC=1121",0.87,1348.774
"8",8,8,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:32:30,1056,NA,NA,NA,NA,NA,NA
"9",9,9,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:35:00,1035,NA,NA,NA,NA,NA,NA
"10",10,10,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:38:00,1009,NA,NA,NA,NA,NA,NA
"11",11,11,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:40:00,978,NA,NA,NA,NA,NA,NA
"12",12,12,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:42:00,938,NA,NA,NA,NA,NA,NA
"13",13,13,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:43:30,862,NA,NA,NA,NA,NA,NA
"14",14,14,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:46:00,350,"U011","D1238","WW029","EC=330 at end of sample",1.23,274.09
"15",15,15,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:49:00,436.8,NA,NA,NA,NA,NA,NA
"16",16,16,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:50:00,449.6,NA,NA,NA,NA,NA,NA
"17",17,17,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:53:00,437.6,NA,NA,NA,NA,NA,NA
"18",18,18,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:55:00,438.2,NA,NA,NA,NA,NA,NA
"19",19,19,"Well","InjWell","8/10/2019",12:03:30,50,0.1,12:58:00,422.6,NA,NA,NA,"post shake, EC=420.7",NA,NA
"20",20,20,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:01:45,243,"U025",NA,"A108","end EC=241",0.7,167.347
"21",21,21,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:05:15,300.4,NA,NA,NA,NA,NA,NA
"22",22,22,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:07:30,306.8,NA,NA,NA,NA,NA,NA
"23",23,23,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:09:00,314,NA,NA,NA,NA,NA,NA
"24",24,24,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:11:00,306.2,NA,NA,NA,NA,NA,NA
"25",25,25,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:13:00,301.6,NA,NA,NA,NA,NA,NA
"26",26,26,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:15:00,293.2,NA,NA,NA,NA,NA,NA
"27",27,27,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:17:00,292.9,NA,NA,NA,NA,NA,NA
"28",28,28,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:20:20,203.1,"U027","D1207","A119","end EC=203.4",0.61,77.43
"29",29,29,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:24:00,235.6,NA,NA,NA,NA,NA,NA
"30",30,30,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:27:45,237.7,NA,NA,NA,NA,NA,NA
"31",31,31,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:30:00,232.3,NA,NA,NA,NA,NA,NA
"32",32,32,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:33:00,234.1,NA,NA,NA,NA,NA,NA
"33",33,33,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:35:00,232.6,NA,NA,NA,NA,NA,NA
"34",34,34,"Well","InjWell","8/10/2019",12:03:30,50,0.1,13:37:30,234.9,NA,NA,NA,NA,NA,NA
