"","SiteName","SiteID","ReleaseDate","ReleaseTime","gNaCl","gCLeachate","MinFrom0","SampleDate","SampleTime","SpC.us.cm","pH","TempH2O.C","Syringe","V.H2O.mL","V.Air.mL","Alk.ID","DOC.ID","NOTES","DOC","Delta"
"1","Creston","0.0m","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT016",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
"2","Creston","117.5m","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT039",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
"3","Creston","12.2m","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT044",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
"4","Creston","142.8m","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT037",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
"5","Creston","167.5m","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT003",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
"6","Creston","198.4m","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT004",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
"7","Creston","22.5m","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT030",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
"8","Creston","32.9m","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT008",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
"9","Creston","50.0m.upstreamStn","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT049",70,70,NA,NA,"Spatial samples pre-13C addition; bubble",NA,NA
"10","Creston","56.4m","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT012",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
"11","Creston","67.5m","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT019",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
"12","Creston","75.5m.downstmStn","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT014",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
"13","Creston","94.8m","8/9/19",10:15:00,400,88,NA,"8/9/19",NA,NA,NA,NA,"VT048",70,70,NA,NA,"Spatial samples pre-13C addition",NA,NA
