SampleID,DOC
A074,4.8
A042,8.2
A064,4.58
A065,6.3
A029,7.58
A054,3.75
A086,4.15
A016,8
A078,6.94
A079,4.64
A090,4.03
A102,5.95
A091,5.24
A114,8.31
A126,8.38
A103,8.4
A104,7.83
A115,8.11
A080,5.78
A092,7.3
A127,4.2
A128,8.22
A139,6.91
A093,7.98
A081,4.37
A105,5.88
A117,7.66
A116,5.4
A141,4.13
A129,1.93
A144,1.93
A140,2.15
A112,4.47
A100,4.33
A088,3.57
A076,2.01
A125,1.98
A113,2.06
A101,2.06
A089,2.02
A077,2.07
A122,2.01
A098,2
A110,1.92
A004,1.97
A109,1.9
A085,1.96
A097,1.93
A041,1.97
A075,1.95
A073,1.89
A025,2
A082,2.05
A083,2.01
A084,1.99
A094,1.99
A095,1.89
A096,1.91
A132,7.12
A142,4.36
A118,1.93
A131,2.19
