SiteName,SiteID,mFrom0,ReleaseDate,ReleaseTime,MinFrom0,gNaCl,gGlucose,SampleDate,SampleTime,SpC.us.cm,Syringe,V.H2O,V.Air,DOC.ID,Alk.ID,NOTES
BeaverBrook,Upstream,260,7/23/18,10:00:00,1:45:00,,,7/23/18,11:45:00,NA,1,50,70,BB34,NA,DOC AT 11:46:00
BeaverBrook,Downstream,478,7/23/18,10:00:00,1:33:50,,,7/23/18,11:33:50,269.9,2,50,70,BB35,NA,NA
BeaverBrook,Downstream,478,7/23/18,10:00:00,0:59:50,,,7/23/18,10:59:50,256.2,3,50,70,NA,NA,NA
BeaverBrook,Upstream,260,7/23/18,10:00:00,1:23:01,,,7/23/18,11:23:01,NA,4,50,70,BB6,NA,NA
BeaverBrook,Upstream,260,7/23/18,10:00:00,1:20:03,,,7/23/18,11:20:03,NA,5,50,71,NA,NA,NA
BeaverBrook,Upstream,260,7/23/18,10:00:00,2:00:00,,,7/23/18,12:00:00,NA,6,50,70,NA,NA,NA
BeaverBrook,Downstream,478,7/23/18,10:00:00,1:17:50,,,7/23/18,11:17:50,256.7,7,50,70,BB36,NA,NA
BeaverBrook,Upstream,260,7/23/18,10:00:00,1:29:05,,,7/23/18,11:29:05,NA,8,50,72.5,BB8,NA,NA
BeaverBrook,Upstream,260,7/23/18,10:00:00,1:09:06,,,7/23/18,11:09:06,NA,9,50,70,NA,D1954,ALK AT 11:09:04
BeaverBrook,Upstream,260,7/23/18,10:00:00,0:44:00,,,7/23/18,10:44:00,262.9,10,50,70,BB18,NA,NA
BeaverBrook,Downstream,478,7/23/18,10:00:00,1:13:50,,,7/23/18,11:13:50,256.6,11,50,71,BB20,NA,NA
BeaverBrook,Upstream,260,7/23/18,10:00:00,0:14:00,,,7/23/18,10:14:00,NA,12,50,70,NA,NA,Flagged-AirTransfer
BeaverBrook,Downstream,478,7/23/18,10:00:00,0:40:50,,,7/23/18,10:40:50,266,13,50,72,NA,NA,NOTE: all downstream are corrected to be 10s earlier than time written on datasheet
BeaverBrook,Upstream,260,7/23/18,10:00:00,0:52:00,,,7/23/18,10:52:00,NA,14,50,70,NA,NA,NA
BeaverBrook,Downstream,478,7/23/18,10:00:00,1:19:50,,,7/23/18,11:19:50,257.3,15,50,70,NA,NA,NA
BeaverBrook,Upstream,260,7/23/18,10:00:00,1:17:00,,,7/23/18,11:17:00,NA,16,50,70,BB9,NA,Flagged-PICARRO
BeaverBrook,Downstream,478,7/23/18,10:00:00,1:37:50,,,7/23/18,11:37:50,270.6,17,50,70,BB37,NA,NA
BeaverBrook,Downstream,478,7/23/18,10:00:00,1:31:50,,,7/23/18,11:31:50,268.9,18,50,75,NA,NA,NA
BeaverBrook,Upstream,260,7/23/18,10:00:00,0:45:00,,,7/23/18,10:45:00,264.4,19,50,70,NA,NA,NA
BeaverBrook,Upstream,260,7/23/18,10:00:00,1:32:00,,,7/23/18,11:32:00,NA,20,50,70,NA,NA,NA
BeaverBrook,Downstream,478,7/23/18,10:00:00,0:43:50,,,7/23/18,10:43:50,266,21,50,70,BB12,NA,NA
BeaverBrook,Downstream,478,7/23/18,10:00:00,1:25:50,,,7/23/18,11:25:50,263,22,50,70,NA,NA,NA
