SiteName,SiteID,ReleaseDate,SampleDate,ReleaseTime0,gNaCl,gGlucose,MinFrom0,SampleTime,SpC.us.cm,pH,TempH2O.C,Syringe,V.H2O.mL,V.Air.mL,Alk.ID,DOC.ID,EndGasSample,NOTES
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,-13,10:57:00,0.205,6.64,NA,VT032,70,70,D1106,13,NA,DOC 013 taken immediately
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,-13,10:57:00,0.205,6.64,NA,VT032,70,70,D1106,12,NA,DOC 012 taken after headspace shaking
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,8,11:18:00,0.233,6.7,NA,NA,NA,NA,NA,NA,NA,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,10,11:20:00,0.236,6.85,13.5,VT026,70,70,NA,7,11:22:50,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,20,11:30:30,0.2325,7,NA,VT039,70,70,D1193,5,11:31:40,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,30,11:39:30,0.233,7,NA,VT035,70,70,NA,14,11:41:20,needle came off but stopcock was closed
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,40,11:49:30,0.235,7,NA,VT027,70,70,D1316,10,11:52:00,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,50,11:59:00,0.235,7.05,NA,VT001,70,70,D1221,15,12:03:00,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,60,12:09:10,0.235,7.04,NA,VT024,70,70,NA,4,12:12:00,needle came off but stopcock was closed
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,70,12:19:00,0.234,6.89,NA,VT038,70,70,NA,1,12:22:30,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,80,12:29:00,0.236,7.03,NA,VT034,60,70,D1326,2,12:32:00,stopcock not closed 
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,90,12:39:00,0.236,7.09,NA,VT040,70,70,NA,3,12:42:30,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,100,12:49:00,0.236,7.12,NA,VT015,70,70,NA,23,12:52:20,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,120,13:10:00,0.362,7.11,NA,VT022,70,70,D1334,21,13:12:00,cond at 13:13
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,130,13:20:40,0.295,7.26,NA,VT041,70,70,NA,12,13:22:00,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,140,13:29:00,0.253,7.12,NA,VT037,70,70,D1315,6,13:32:04,start time is pump start
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,150,13:39:24,0.244,7.37,NA,VT044,70,70,NA,11,13:41:20,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,160,13:49:15,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,161,13:51:00,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,162,13:51:55,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,163,13:53:30,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,164,13:54:05,0.316,7.26,NA,VT008,70,70,D1173,16,13:55:00,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,185,14:15:30,0.253,NA,NA,NA,NA,NA,NA,NA,NA,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,186,14:16:40,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA
MovieRd,Down01,8/6/19,8/6/19,11:10:00,50.0,0.1,188,14:18:10,0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA
