"","X1","SiteName","SiteID","ReleaseDate","ReleaseTime","gNaCl","gGlucose","SampleDate","SampleTime","SpC.us.cm","TempH2O.C","pH","Syringe","ALK.ID","DOC.ID","NOTES","DOC_conc","Delta 13C"
"1",1,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","10:57:30",193.2,12.5,6.84,"U015","D1287","B012",NA,3.03,10.649
"2",2,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","11:00:00",193.2,12.5,NA,NA,NA,NA,NA,NA,NA
"3",3,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","11:05:00",193.1,12.5,7.17,"VT001",NA,"B017",NA,1.31,-20.698
"4",4,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","11:10:00",193.1,12.5,7.3,NA,NA,NA,NA,NA,NA
"5",5,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","11:15:00",193,12.5,7.39,NA,NA,NA,NA,NA,NA
"6",6,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","11:20:00",193,12.5,7.45,NA,NA,NA,NA,NA,NA
"7",7,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","11:25:00",192.8,12.5,7.51,NA,NA,NA,NA,NA,NA
"8",8,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","11:30:00",192.8,12.5,7.55,"VT023","D1202","B003",NA,1.55,-8.446
"9",9,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","11:40:00",192.7,12.5,7.66,NA,NA,NA,NA,NA,NA
"10",10,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","11:45:00",192.7,12.5,7.67,NA,NA,NA,NA,NA,NA
"11",11,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","11:50:00",192.7,12.5,7.69,NA,NA,NA,NA,NA,NA
"12",12,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","11:55:00",192.6,12.5,7.72,NA,NA,NA,NA,NA,NA
"13",13,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:00:00",192.6,12.5,7.74,"VT020","D2319","B001",NA,0.64,-6.119
"14",14,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:05:00",192.6,12.6,7.76,NA,NA,NA,NA,NA,NA
"15",15,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:10:00",192.6,12.6,7.77,NA,NA,NA,NA,NA,NA
"16",16,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:15:00",192.5,12.7,7.79,NA,NA,NA,NA,NA,NA
"17",17,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:20:00",192.5,12.7,7.8,NA,NA,NA,NA,NA,NA
"18",18,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:25:00",192.4,12.7,7.82,NA,NA,NA,NA,NA,NA
"19",19,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:30:00",92.4,12.7,7.82,NA,NA,NA,NA,NA,NA
"20",20,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:35:00",192.3,12.7,7.84,NA,NA,NA,NA,NA,NA
"21",21,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:40:00",192.3,12.8,7.85,NA,NA,NA,NA,NA,NA
"22",22,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:42:00",192.3,12.8,7.85,NA,NA,NA,NA,NA,NA
"23",23,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:45:00",192.2,12.8,7.86,"VT034","D1184","B005",NA,2.56,-9.802
"24",24,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:47:00",19.2,12.8,7.86,NA,NA,NA,NA,NA,NA
"25",25,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:50:00",192.2,12.8,7.86,NA,NA,NA,NA,NA,NA
"26",26,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:55:00",192.4,12.7,7.87,NA,NA,NA,NA,NA,NA
"27",27,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:57:00",192.8,12.8,7.88,"VT018",NA,"WW022",NA,1.43,-5.227
"28",28,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:58:00",192.9,12.8,NA,NA,NA,NA,NA,NA,NA
"29",29,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","12:59:00",193.2,12.8,7.88,NA,NA,NA,NA,NA,NA
"30",30,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","13:00:00",193.3,12.8,7.88,"VT011","D1335","B004",NA,2.4,-17.865
"31",31,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","13:01:00",193.5,12.8,NA,NA,NA,NA,NA,NA,NA
"32",32,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","13:02:00",193.8,12.8,NA,NA,NA,NA,NA,NA,NA
"33",33,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","13:03:00",194,12.8,7.88,"VT043",NA,"B002",NA,2.46,4.298
"34",34,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","13:04:00",194.3,12.8,NA,NA,NA,NA,NA,NA,NA
"35",35,"NyackSC","Down","8/12/2019",11:05:00,10200,9,"8/12/2019","13:05:00",194.5,12.8,NA,NA,NA,NA,NA,NA,NA
