 Sample Id,Peak Number,                             Description,               Start Time,  End Time,     Max 12CO2 (ppm),      12CO2 Integral,      13CO2 Integral,           Delta 13C,      12CO2 Baseline,      13CO2 Baseline,           Threshold,Number of data points,Time interval (seconds)
         1,         1,                                        ,      2021/01/19 23:05:07,2021/01/19 23:12:05,               6.735,            1895.675,              21.296,              -0.513,               1.690,               0.019,               5.000,       891,   418.756
         2,         1,                                        ,      2021/01/19 23:28:56,2021/01/19 23:32:56,               5.155,            1059.417,              11.808,              -8.344,               1.205,               0.012,               5.000,       512,   239.999
         3,         1,                                        ,      2021/01/19 23:47:30,2021/01/19 23:51:35,               5.150,            1062.530,              11.966,               1.971,               2.409,               0.028,               5.000,       522,   244.756
         4,         1,                                        ,      2021/01/20 00:04:30,2021/01/20 00:12:18,               8.594,            2375.714,              26.636,              -2.460,               1.151,               0.012,               5.000,       996,   467.855
         5,         1,                                        ,      2021/01/20 00:24:49,2021/01/20 00:35:17,              23.396,            6331.635,              69.820,             -18.880,               0.918,               0.008,               5.000,      1338,   628.497
         6,         1,                                        ,      2021/01/20 00:47:39,2021/01/20 00:59:18,              41.575,           11004.194,             120.878,             -22.658,               0.874,               0.008,               5.000,      1487,   699.052
         7,         1,                                        ,      2021/01/20 01:11:22,2021/01/20 01:26:08,             189.592,           49108.557,             536.901,             -27.254,               0.756,               0.004,               5.000,      1886,   885.514
         8,         1,                                        ,      2021/01/20 01:38:09,2021/01/20 01:54:17,             373.970,           96643.712,            1054.639,             -29.048,               0.869,               0.008,               5.000,      2059,   967.791
        10,         1,                                        ,      2021/01/20 02:23:55,2021/01/20 02:33:25,              15.701,            4250.813,              47.293,             -10.103,               0.834,               0.009,               5.000,      1212,   569.275
        11,         1,                                        ,      2021/01/20 02:45:39,2021/01/20 02:57:45,              48.559,           13017.278,             143.317,             -20.415,               0.699,               0.005,               5.000,      1545,   726.187
        12,         1,                                        ,      2021/01/20 03:10:00,2021/01/20 03:22:19,              56.791,           14927.467,             164.467,             -19.710,               0.697,               0.006,               5.000,      1572,   738.803
        13,         1,                                        ,      2021/01/20 03:34:21,2021/01/20 03:49:52,             279.819,           72493.741,             794.697,             -24.639,               0.659,               0.005,               5.000,      1979,   930.504
        15,         1,                                        ,      2021/01/20 04:19:25,2021/01/20 04:29:57,              24.676,            6619.882,              74.084,              -4.288,               0.723,               0.006,               5.000,      1347,   632.592
        16,         1,                                        ,      2021/01/20 04:42:09,2021/01/20 04:56:48,             186.724,           48524.519,             711.871,             305.276,               0.619,               0.005,               5.000,      1872,   879.610
        17,         1,                                        ,      2021/01/20 05:09:16,2021/01/20 05:20:09,              28.082,            7572.138,             123.610,             452.435,               0.847,               0.008,               5.000,      1392,   653.163
        18,         1,                                        ,      2021/01/20 05:32:42,2021/01/20 05:43:22,              26.081,            6973.063,              77.504,             -11.074,               0.723,               0.006,               5.000,      1365,   640.242
        19,         1,                                        ,      2021/01/20 05:55:55,2021/01/20 06:06:24,              23.968,            6413.576,             161.299,            1237.641,               0.671,               0.004,               5.000,      1341,   629.116
        20,         1,                                        ,      2021/01/20 06:18:52,2021/01/20 06:29:48,              29.851,            7936.517,              88.351,              -9.526,               0.624,               0.004,               5.000,      1398,   656.192
        21,         1,                                        ,      2021/01/20 06:42:21,2021/01/20 06:52:37,              21.772,            5853.276,              71.326,              84.207,               0.588,               0.004,               5.000,      1311,   615.501
        22,         1,                                        ,      2021/01/20 07:05:17,2021/01/20 07:15:42,              23.457,            6293.078,             261.909,            2702.974,               0.627,               0.003,               5.000,      1333,   625.327
        23,         1,                                        ,      2021/01/20 07:28:17,2021/01/20 07:38:33,              21.537,            5799.825,             377.599,            4792.673,               0.589,               0.006,               5.000,      1314,   616.732
        24,         1,                                        ,      2021/01/20 07:51:05,2021/01/20 08:01:50,              27.188,            7250.860,             101.555,             246.163,               0.579,               0.006,               5.000,      1373,   644.215
        25,         1,                                        ,      2021/01/20 08:14:18,2021/01/20 08:24:45,              23.360,            6248.821,             199.841,            1845.441,               0.586,               0.006,               5.000,      1335,   626.482
        26,         1,                                        ,      2021/01/20 08:37:14,2021/01/20 08:47:59,              26.592,            7147.841,              86.472,              76.371,               0.518,               0.004,               5.000,      1376,   645.255
        27,         1,                                        ,      2021/01/20 09:00:30,2021/01/20 09:11:04,              25.262,            6725.239,              82.578,              92.496,               0.539,               0.006,               5.000,      1351,   633.746
        28,         1,                                        ,      2021/01/20 09:23:13,2021/01/20 09:37:51,             189.392,           48943.575,             544.299,             -10.517,               0.460,               0.004,               5.000,      1871,   878.415
        30,         1,                                        ,      2021/01/20 10:07:23,2021/01/20 10:18:18,              29.611,            7866.661,             185.638,            1099.627,               0.541,               0.004,               5.000,      1395,   654.408
        31,         1,                                        ,      2021/01/20 10:30:54,2021/01/20 10:40:57,              20.115,            5388.083,             108.156,             785.991,               0.609,               0.004,               5.000,      1283,   602.498
        32,         1,                                        ,      2021/01/20 10:53:36,2021/01/20 11:04:11,              26.095,            6911.174,              76.432,             -16.009,               0.546,               0.005,               5.000,      1352,   634.968
        33,         1,                                        ,      2021/01/20 11:16:57,2021/01/20 11:26:50,              18.770,            5041.362,             213.683,            2771.270,               0.507,               0.006,               5.000,      1261,   592.136
        34,         1,                                        ,      2021/01/20 11:39:24,2021/01/20 11:49:48,              22.931,            6176.949,              74.901,              78.887,               0.517,               0.006,               5.000,      1328,   623.729
        35,         1,                                        ,      2021/01/20 12:02:25,2021/01/20 12:12:34,              21.181,            5652.144,              63.803,               4.365,               0.532,               0.004,               5.000,      1296,   608.479
        36,         1,                                        ,      2021/01/20 12:25:07,2021/01/20 12:35:44,              25.782,            6855.517,              76.486,              -7.333,               0.515,               0.003,               5.000,      1357,   637.021
        37,         1,                                        ,      2021/01/20 12:48:17,2021/01/20 12:58:29,              21.336,            5694.781,             141.317,            1207.889,               0.566,               0.005,               5.000,      1304,   611.898
        38,         1,                                        ,      2021/01/20 13:11:01,2021/01/20 13:21:48,              28.168,            7461.938,              82.440,             -17.005,               0.497,               0.003,               5.000,      1378,   646.565
        39,         1,                                        ,      2021/01/20 13:34:20,2021/01/20 13:44:49,              24.517,            6503.401,              80.435,             100.443,               0.524,               0.003,               5.000,      1341,   629.556
        40,         1,                                        ,      2021/01/20 13:57:23,2021/01/20 14:07:45,              23.010,            6149.442,             446.641,            5462.292,               0.509,               0.003,               5.000,      1325,   621.848
        41,         1,                                        ,      2021/01/20 14:20:23,2021/01/20 14:30:57,              25.185,            6692.501,              79.946,              62.849,               0.485,               0.007,               5.000,      1354,   634.736
        42,         1,                                        ,      2021/01/20 14:43:36,2021/01/20 14:54:02,              23.226,            6235.865,             626.977,            7945.789,               0.468,               0.004,               5.000,      1336,   626.174
        43,         1,                                        ,      2021/01/20 15:06:13,2021/01/20 15:20:49,             189.674,           49005.506,             546.529,              -7.718,               0.432,               0.004,               5.000,      1867,   876.379
        45,         1,                                        ,      2021/01/20 15:50:06,2021/01/20 16:02:50,              73.197,           19123.473,             210.514,             -20.555,               0.456,               0.001,               5.000,      1628,   764.214
        46,         1,                                        ,      2021/01/20 16:15:22,2021/01/20 16:26:47,              37.544,            9928.807,             306.123,            1743.238,               0.579,               0.006,               5.000,      1461,   685.320
        47,         1,                                        ,      2021/01/20 16:38:57,2021/01/20 16:54:23,             278.609,           72016.513,             789.742,             -24.288,               0.454,               0.003,               5.000,      1971,   925.735
        48,         1,                                        ,      2021/01/20 17:06:30,2021/01/20 17:21:43,             247.008,           63927.380,             701.331,             -23.875,               0.643,               0.003,               5.000,      1943,   912.296
        49,         1,                                        ,      2021/01/20 17:33:54,2021/01/20 17:48:30,             183.765,           47669.062,             530.065,             -10.621,               0.728,               0.007,               5.000,      1865,   876.050
