unixtime,temp,oxy
1565366820,15.201,6.675
1565367420,14.476,6.995
1565368020,14.321,7.143
1565368620,14.329,7.241
1565369220,14.329,7.339
1565369820,14.303,7.494
1565370420,14.433,7.691
1565371020,14.433,7.95
1565371620,14.468,8.204
1565372220,14.606,8.455
1565372820,14.667,8.742
1565373420,14.787,9.078
1565374020,14.874,9.391
1565374620,14.986,9.685
1565375220,15.175,9.96
1565375820,15.347,10.215
1565376420,15.424,10.483
1565377020,15.57,10.674
1565377620,15.664,10.848
1565378220,15.767,10.98
1565378820,15.724,11.062
1565379420,15.809,11.094
1565380020,15.903,11.104
1565380620,15.955,11.167
1565381220,15.955,11.168
1565381820,16.04,11.155
1565382420,16.134,11.253
1565383020,16.176,11.376
1565383620,16.287,11.505
1565384220,16.347,11.613
1565384820,16.424,11.687
1565385420,16.475,11.688
1565386020,16.517,11.734
1565386620,16.585,11.756
1565387220,16.67,11.715
1565387820,16.645,11.682
1565388420,16.611,11.633
1565389020,16.602,11.631
1565389620,16.67,11.619
1565390220,16.721,11.594
1565390820,16.713,11.594
1565391420,16.73,11.549
1565392020,16.755,11.411
1565392620,16.704,11.275
1565393220,16.696,11.111
1565393820,16.628,11.006
1565394420,16.653,10.885
1565395020,16.653,10.843
1565395620,16.628,10.772
1565396220,16.568,10.68
1565396820,16.517,10.486
1565397420,16.458,10.265
1565398020,16.389,9.975
1565398620,16.355,9.677
1565399220,16.228,9.443
1565399820,16.228,9.186
1565400420,16.117,8.975
1565401020,16.117,8.804
1565401620,16.083,8.65
1565402220,16.006,8.516
1565402820,15.938,8.372
1565403420,15.963,8.211
1565404020,15.818,8.09
1565404620,15.775,7.905
1565405220,15.698,7.729
1565405820,15.69,7.517
1565406420,15.578,7.335
1565407020,15.535,7.168
1565407620,15.484,7.003
1565408220,15.39,6.851
1565408820,15.381,6.698
1565409420,15.338,6.58
1565410020,15.278,6.481
1565410620,15.184,6.396
1565411220,15.166,6.293
1565411820,15.106,6.227
1565412420,15.037,6.134
1565413020,14.968,6.08
1565413620,14.917,6.016
1565414220,14.882,5.942
1565414820,14.779,5.911
1565415420,14.77,5.845
1565416020,14.632,5.82
1565416620,14.572,5.798
1565417220,14.528,5.762
1565417820,14.468,5.743
1565418420,14.45,5.717
1565419020,14.39,5.711
1565419620,14.355,5.695
1565420220,14.373,5.672
1565420820,14.355,5.66
1565421420,14.303,5.65
1565422020,14.286,5.638
1565422620,14.26,5.635
1565423220,14.225,5.636
1565423820,14.182,5.632
1565424420,14.164,5.629
1565425020,14.104,5.637
1565425620,14.034,5.641
1565426220,13.982,5.646
1565426820,13.904,5.655
1565427420,13.825,5.671
1565428020,13.791,5.652
1565428620,13.66,5.687
1565429220,13.625,5.691
1565429820,13.616,5.708
1565430420,13.529,5.709
1565431020,13.468,5.721
1565431620,13.433,5.727
1565432220,13.406,5.73
1565432820,13.31,5.755
1565433420,13.301,5.738
1565434020,13.258,5.76
1565434620,13.24,5.761
1565435220,13.144,5.776
1565435820,13.144,5.792
1565436420,13.135,5.793
1565437020,13.108,5.803
1565437620,13.091,5.809
1565438220,13.108,5.836
1565438820,13.065,5.847
1565439420,13.047,5.861
1565440020,13.082,5.861
1565440620,13.003,5.902
1565441220,12.994,5.947
1565441820,13.021,5.98
1565442420,12.959,6.038
1565443020,13.003,6.081
1565443620,12.968,6.158
1565444220,13.003,6.243
1565444820,13.065,6.349
1565445420,12.994,6.541
1565446020,13.082,6.744
1565446620,13.135,7.009
1565447220,13.161,7.316
1565447820,13.24,7.638
1565448420,13.354,7.998
1565449020,13.433,8.331
1565449620,13.494,8.627
1565450220,13.564,8.853
1565450820,13.642,9.077
1565451420,13.756,9.298
1565452020,13.782,9.546
1565452620,13.869,9.731
1565453220,14.017,9.935
1565453820,14.13,10.227
1565454420,14.277,10.476
1565455020,14.329,10.709
1565455620,14.511,10.871
1565456220,14.675,11.042
1565456820,15.089,11.162
1565457420,15.407,11.391
1565458020,15.861,11.6
1565458620,16.066,11.784
1565459220,16.262,11.921
1565459820,16.577,11.955
1565460420,16.993,12.118
1565461020,17.34,12.208
1565461620,17.805,12.315
1565462220,18.15,12.451
1565462820,18.479,12.501
1565463420,18.916,12.575
1565464020,19.218,12.628
1565464620,19.445,12.628
1565465220,19.771,12.733
1565465820,20.073,12.722
1565466420,20.29,12.786
1565467020,20.725,12.816
1565467620,21.051,12.82
1565468220,21.319,12.853
1565468820,21.244,12.84
1565469420,21.511,12.855
1565470020,21.854,12.806
1565470620,22.029,12.802
1565471220,22.171,12.781
1565471820,22.296,12.777
1565472420,22.439,12.718
1565473020,22.455,12.687
1565473620,22.631,12.588
1565474220,22.606,12.542
1565474820,22.556,12.503
1565475420,22.556,12.389
1565476020,22.455,12.275
1565476620,22.388,12.159
1565477220,22.313,12.079
1565477820,22.205,12.088
1565478420,21.937,11.985
1565479020,21.745,11.856
1565479620,21.595,11.703
1565480220,21.469,11.578
1565480820,21.319,11.485
1565481420,21.21,11.405
1565482020,21.068,11.317
1565482620,20.918,11.256
1565483220,20.817,11.154
1565483820,20.717,11.038
1565484420,20.558,10.912
1565485020,20.424,10.762
1565485620,20.257,10.554
1565486220,20.106,10.24
1565486820,19.897,9.883
1565487420,19.788,9.512
1565488020,19.612,9.144
1565488620,19.445,8.83
1565489220,19.302,8.514
1565489820,19.042,7.966
1565490420,18.731,7.709
1565491020,18.252,7.537
1565491620,17.923,7.328
1565492220,17.779,7.146
1565492820,17.687,6.884
1565493420,17.492,6.655
1565494020,17.247,6.53
1565494620,17.077,6.351
1565495220,16.857,6.198
1565495820,16.713,6.065
1565496420,16.543,5.928
1565497020,16.432,5.817
1565497620,16.279,5.723
1565498220,16.168,5.63
1565498820,16.091,5.547
1565499420,15.972,5.474
1565500020,15.929,5.41
1565500620,15.749,5.359
1565501220,15.698,5.293
1565501820,15.553,5.253
1565502420,15.45,5.232
1565503020,15.312,5.199
1565503620,15.201,5.175
1565504220,15.08,5.155
1565504820,14.968,5.14
1565505420,14.9,5.13
1565506020,14.762,5.146
1565506620,14.684,5.139
1565507220,14.658,5.142
1565507820,14.546,5.152
1565508420,14.459,5.163
1565509020,14.364,5.193
1565509620,14.251,5.207
1565510220,14.138,5.244
1565510820,14.112,5.235
1565511420,14.043,5.269
1565512020,13.93,5.284
1565512620,13.817,5.307
1565513220,13.738,5.324
1565513820,13.695,5.323
1565514420,13.573,5.373
1565515020,13.511,5.38
1565515620,13.468,5.391
1565516220,13.406,5.416
1565516820,13.336,5.432
1565517420,13.275,5.445
1565518020,13.179,5.487
1565518620,13.1,5.518
1565519220,13.012,5.523
1565519820,12.968,5.526
1565520420,12.898,5.555
1565521020,12.871,5.581
1565521620,12.845,5.595
1565522220,12.739,5.621
1565522820,12.713,5.635
1565523420,12.686,5.639
1565524020,12.642,5.655
1565524620,12.633,5.67
1565525220,12.615,5.692
1565525820,12.589,5.714
1565526420,12.589,5.723
1565527020,12.562,5.765
1565527620,12.562,5.793
1565528220,12.607,5.848
1565528820,12.589,5.954
1565529420,12.536,6.097
1565530020,12.571,6.26
1565530620,12.624,6.479
1565531220,12.668,6.698
1565531820,12.624,6.884
1565532420,12.713,7.079
1565533020,12.721,7.285
1565533620,12.836,7.489
1565534220,12.809,7.704
1565534820,12.915,7.84
1565535420,12.854,8.002
1565536020,12.942,8.151
1565536620,12.977,8.347
1565537220,13.029,8.527
1565537820,13.1,8.68
1565538420,13.126,8.89
1565539020,13.205,9.099
1565539620,13.319,9.307
1565540220,13.433,9.549
1565540820,13.52,9.807
1565541420,13.712,10.053
1565542020,13.747,10.315
1565542620,13.921,10.512
1565543220,14.095,10.686
1565543820,14.147,10.89
1565544420,14.269,11.046
1565545020,14.416,11.222
1565545620,14.572,11.351
1565546220,14.77,11.564
1565546820,15.321,11.699
1565547420,15.561,11.91
1565548020,16.006,12.046
1565548620,16.441,12.183
1565549220,16.916,12.286
1565549820,17.374,12.312
1565550420,17.678,12.4
1565551020,17.982,12.453
1565551620,18.226,12.457
1565552220,18.167,12.405
1565552820,18.1,12.353
1565553420,18.032,12.285
1565554020,18.066,12.295
1565554620,18.302,12.339
1565555220,18.538,12.427
1565555820,18.664,12.45
1565556420,18.622,12.488
1565557020,18.672,12.414
1565557620,18.782,12.502
1565558220,19.008,12.511
1565558820,19.033,12.592
1565559420,18.874,12.523
1565560020,18.723,12.39
1565560620,18.555,12.107
1565561220,18.454,11.79
1565561820,18.252,11.484
1565562420,18.142,11.136
1565563020,17.999,10.847
1565563620,17.906,10.582
1565564220,17.771,10.342
1565564820,17.763,10.168
1565565420,17.636,10.082
1565566020,17.458,9.928
1565566620,17.348,9.843
1565567220,17.247,9.827
1565567820,17.281,9.884
1565568420,17.196,10.05
1565569020,17.145,8.468
1565569620,17.103,10.274
1565570220,16.933,10.134
1565570820,16.738,9.841
1565571420,16.653,9.544
1565572020,16.526,9.255
1565572620,16.321,9.098
1565573220,16.228,8.953
1565573820,16.194,8.942
1565574420,16.066,8.903
1565575020,15.972,8.876
1565575620,15.878,8.779
1565576220,15.775,8.675
1565576820,15.63,8.529
1565577420,15.57,8.339
1565578020,15.484,8.157
1565578620,15.372,7.968
1565579220,15.295,7.784
1565579820,15.175,7.606
1565580420,15.089,7.434
1565581020,15.029,7.287
1565581620,14.951,7.155
1565582220,14.796,7.034
1565582820,14.71,6.927
1565583420,14.572,6.843
1565584020,14.528,6.72
1565584620,14.485,6.62
