time,white_co2,bela_co2,white_temp,bela_temp
8/9/19 10:00:00,1486.22,688.06,20.71,26.83
8/9/19 10:10:00,1994.46,1682.76,18.66,22.23
8/9/19 10:20:00,2320.71,2214.4,18.27,20.38
8/9/19 10:30:00,2557.91,2497.3,18.24,20.03
8/9/19 10:40:00,2707.09,2657.7,18.24,20
8/9/19 10:50:00,2763.69,2754.37,18.26,20.01
8/9/19 11:00:00,2789.88,2824.45,18.29,20.06
8/9/19 11:10:00,2794.45,2821.97,18.33,20.09
8/9/19 11:20:00,2804.72,2796.17,18.37,20.12
8/9/19 11:30:00,2790.43,2738.82,18.43,20.18
8/9/19 11:40:00,2740.5,2678.12,18.51,20.24
8/9/19 11:50:00,2674.83,2611.81,18.58,20.33
8/9/19 12:00:00,2622.97,2531.91,18.65,20.43
8/9/19 12:10:00,2545.94,2447.33,18.7,20.51
8/9/19 12:20:00,2484.34,2375.11,18.8,20.6
8/9/19 12:30:00,2421.2,2288.36,18.95,20.75
8/9/19 12:40:00,2354.39,2217.28,19.08,20.88
8/9/19 12:50:00,2312.62,2142.16,19.19,20.96
8/9/19 13:00:00,2241.54,2063.24,19.3,21.04
8/9/19 13:10:00,2194.21,2002.69,19.41,21.16
8/9/19 13:20:00,2146.83,1967.22,19.5,21.22
8/9/19 13:30:00,2110.97,1907.08,19.59,21.27
8/9/19 13:40:00,2069.85,1878.7,19.71,21.33
8/9/19 13:50:00,2043.04,1845.16,19.76,21.38
8/9/19 14:00:00,2029.2,1823.07,19.76,21.38
8/9/19 14:10:00,2015.79,1805.54,19.8,21.41
8/9/19 14:20:00,2011.58,1785.22,19.84,21.47
8/9/19 14:30:00,2000.15,1766.52,19.89,21.54
8/9/19 14:40:00,1990.05,1737.57,19.93,21.61
8/9/19 14:50:00,1982.69,1715.66,19.97,21.71
8/9/19 15:00:00,1970.41,1693.58,20.02,21.76
8/9/19 15:10:00,1970.35,1666.95,20.04,21.8
8/9/19 15:20:00,1964.27,1649.24,20.07,21.86
8/9/19 15:30:00,1941.83,1631.56,20.14,21.9
8/9/19 15:40:00,1936.06,1618.81,20.17,21.93
8/9/19 15:50:00,1931.63,1603.54,20.16,21.94
8/9/19 16:00:00,1931.38,1613.32,20.17,21.96
8/9/19 16:10:00,1941.92,1608.91,20.19,21.98
8/9/19 16:20:00,1944.51,1627.98,20.21,22.02
8/9/19 16:30:00,1953.56,1627.52,20.23,22.05
8/9/19 16:40:00,1938.58,1630.45,20.25,22.07
8/9/19 16:50:00,1955.93,1625.51,20.25,22.08
8/9/19 17:00:00,1961.18,1619.37,20.22,22.07
8/9/19 17:10:00,1978.93,1641.87,20.2,22.05
8/9/19 17:20:00,1999.15,1660.52,20.17,22.06
8/9/19 17:30:00,2020.16,1686.74,20.18,22.04
8/9/19 17:40:00,2035.7,1704.77,20.15,22.02
8/9/19 17:50:00,2061.16,1727.1,20.12,22.01
8/9/19 18:00:00,2070.61,1750.15,20.11,22.01
8/9/19 18:10:00,2088.43,1761.52,20.08,21.98
8/9/19 18:20:00,2112.09,1779.1,20.03,21.93
8/9/19 18:30:00,2137.56,1817.21,19.97,21.91
8/9/19 18:40:00,2177.15,1876.84,19.95,21.86
8/9/19 18:50:00,2210.31,1925.16,19.89,21.79
8/9/19 19:00:00,2258.59,2005.85,19.82,21.73
8/9/19 19:10:00,2312.06,2075.26,19.75,21.69
8/9/19 19:20:00,2366.69,2144.2,19.71,21.62
8/9/19 19:30:00,2415.87,2208.44,19.65,21.57
8/9/19 19:40:00,2476.88,2277.69,19.58,21.55
8/9/19 19:50:00,2533.09,2319.45,19.52,21.5
8/9/19 20:00:00,2597.14,2382.78,19.47,21.45
8/9/19 20:10:00,2653.36,2426.32,19.4,21.41
8/9/19 20:20:00,2703.02,2472.82,19.35,21.36
8/9/19 20:30:00,2755.92,2536.44,19.3,21.31
8/9/19 20:40:00,2809.38,2580.03,19.26,21.28
8/9/19 20:50:00,2853.19,2660.39,19.17,21.21
8/9/19 21:00:00,2908.12,2737,19.12,21.14
8/9/19 21:10:00,2963.34,2813.07,19.08,21.1
8/9/19 21:20:00,3025.16,2914.13,19.04,21.04
8/9/19 21:30:00,3085.04,2969.6,18.98,20.98
8/9/19 21:40:00,3175.32,3046.48,18.94,20.92
8/9/19 21:50:00,3224.22,3124.52,18.88,20.9
8/9/19 22:00:00,3281.15,3193.96,18.83,20.85
8/9/19 22:10:00,3323.87,3257.97,18.79,20.78
8/9/19 22:20:00,3368.08,3309,18.76,20.75
8/9/19 22:30:00,3413.2,3357.48,18.73,20.7
8/9/19 22:40:00,3442.67,3416.59,18.69,20.65
8/9/19 22:50:00,3482.66,3458.39,18.64,20.62
8/9/19 23:00:00,3528.78,3499.89,18.6,20.58
8/9/19 23:10:00,3560.55,3530.63,18.57,20.52
8/9/19 23:20:00,3595.35,3582.74,18.52,20.46
8/9/19 23:30:00,3634.7,3627.39,18.47,20.4
8/9/19 23:40:00,3658.4,3626.54,18.43,20.35
8/9/19 23:50:00,3674.52,3676.39,18.38,20.28
8/10/19 0:00:00,3680.72,3680.27,18.32,20.2
8/10/19 0:10:00,3717.54,3718.49,18.28,20.17
8/10/19 0:20:00,3717.78,3744.97,18.26,20.15
8/10/19 0:30:00,3727.12,3771.16,18.23,20.11
8/10/19 0:40:00,3729.88,3761.74,18.18,20.08
8/10/19 0:50:00,3740.76,3807.6,18.15,20.06
8/10/19 1:00:00,3745.57,3811.39,18.12,20.04
8/10/19 1:10:00,3737.31,3838.8,18.1,20
8/10/19 1:20:00,3756.68,3868.53,18.07,19.97
8/10/19 1:30:00,3763.36,3871.82,18.06,19.95
8/10/19 1:40:00,3767.13,3887.33,18.05,19.93
8/10/19 1:50:00,3771.42,3885.13,18,19.89
8/10/19 2:00:00,3768.44,3897.63,17.99,19.86
8/10/19 2:10:00,3771.9,3902.61,17.99,19.83
8/10/19 2:20:00,3774.18,3894.59,17.96,19.8
8/10/19 2:30:00,3771.95,3899.05,17.91,19.73
8/10/19 2:40:00,3769.64,3912.17,17.86,19.66
8/10/19 2:50:00,3767.87,3886.04,17.83,19.59
