SiteName,WellID,Date,ReleaseTime0,MinFrom0,SampleTime,EC.ms.cm,pH,TempH2O.C,SyringeID,V.H2O.mL,V.Air.mL,Alk.ID,DOC.ID,EndGasSample,NOTES,CO2,delCO2
MovieRd,Down01,8/6/19,11:10:00,-13,10:57:00,0.205,6.64,NA,VT032,70,70,D1106,13,NA,DOC 013 taken immediately,2605.386034,-17.93897082
MovieRd,Down01,8/6/19,11:10:00,-13,10:57:00,0.205,6.64,NA,VT032,70,70,D1106,12,NA,DOC 012 taken after headspace shaking,2605.386034,-17.93897082
MovieRd,Down01,8/6/19,11:10:00,8,11:18:00,0.233,6.7,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,10,11:20:00,0.236,6.85,13.5,VT026,70,70,NA,7,11:22:50,NA,3024.983462,-18.23065912
MovieRd,Down01,8/6/19,11:10:00,20,11:30:30,0.2325,7,NA,VT039,70,70,D1193,5,11:31:40,NA,3273.512804,-18.5305612
MovieRd,Down01,8/6/19,11:10:00,30,11:39:30,0.233,7,NA,VT035,70,70,NA,14,11:41:20,needle came off but stopcock was closed,3510.677138,-18.43027617
MovieRd,Down01,8/6/19,11:10:00,40,11:49:30,0.235,7,NA,VT027,70,70,D1316,10,11:52:00,NA,3585.04378,-18.49592481
MovieRd,Down01,8/6/19,11:10:00,50,11:59:00,0.235,7.05,NA,VT001,70,70,D1221,15,12:03:00,NA,3551.962544,-18.41764193
MovieRd,Down01,8/6/19,11:10:00,60,12:09:10,0.235,7.04,NA,VT024,70,70,NA,4,12:12:00,needle came off but stopcock was closed,3522.787188,-18.32335049
MovieRd,Down01,8/6/19,11:10:00,70,12:19:00,0.234,6.89,NA,VT038,70,70,NA,1,12:22:30,NA,3425.825659,-18.49081036
MovieRd,Down01,8/6/19,11:10:00,80,12:29:00,0.236,7.03,NA,VT034,60,70,D1326,2,12:32:00,stopcock not closed ,3041.398789,-18.16597203
MovieRd,Down01,8/6/19,11:10:00,90,12:39:00,0.236,7.09,NA,VT040,70,70,NA,3,12:42:30,NA,3516.786535,-18.45400185
MovieRd,Down01,8/6/19,11:10:00,100,12:49:00,0.236,7.12,NA,VT015,70,70,NA,23,12:52:20,NA,3479.833485,-18.46415282
MovieRd,Down01,8/6/19,11:10:00,120,13:10:00,0.362,7.11,NA,VT022,70,70,D1334,21,13:12:00,cond at 13:13,2496.246721,-12.71681654
MovieRd,Down01,8/6/19,11:10:00,130,13:20:40,0.295,7.26,NA,VT041,70,70,NA,12,13:22:00,NA,3248.110493,-15.61730341
MovieRd,Down01,8/6/19,11:10:00,140,13:29:00,0.253,7.12,NA,VT037,70,70,D1315,6,13:32:04,start time is pump start,3369.954097,-16.77905498
MovieRd,Down01,8/6/19,11:10:00,150,13:39:24,0.244,7.37,NA,VT044,70,70,NA,11,13:41:20,NA,3531.685634,-17.7317639
MovieRd,Down01,8/6/19,11:10:00,160,13:49:15,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,161,13:51:00,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,162,13:51:55,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,163,13:53:30,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,164,13:54:05,0.316,7.26,NA,VT008,70,70,D1173,16,13:55:00,NA,2888.770683,-13.76086401
MovieRd,Down01,8/6/19,11:10:00,185,14:15:30,0.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,186,14:16:40,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
