SampleID,Syringe,H2O_mL,air_mL,eq_temp,ResetTime
1,M47,50,70,15,2018-07-23 22:17:40
2,M28,50,70,15,2018-07-23 22:20:33
3,M12,50,75,15,2018-07-23 22:24:03
4,M7,50,72,15,2018-07-23 22:26:32
5,M13,50,75,15,2018-07-23 22:29:26
6,M8,50,72,15,2018-07-23 22:32:16
7,22,50,70,15,2018-07-23 22:34:56
8,M21,50,70,15,2018-07-23 22:37:29
9,M43,50,70,15,2018-07-23 22:40:19
10,M50,50,70,15,2018-07-23 22:42:50
11,M44,50,70,15,2018-07-23 22:45:28
12,M33,50,72,15,2018-07-23 22:48:20
13,14,50,75,15,2018-07-23 22:51:30
14,M42,50,70,15,2018-07-23 22:54:45
15,M49,50,71,15,2018-07-23 22:57:49
16,17,50,72,15,2018-07-23 23:00:43
17,M48,50,70,15,2018-07-23 23:03:26
18,24,50,70,15,2018-07-23 23:05:57
19,M45,50,70,15,2018-07-23 23:09:00
20,M41,50,70,15,2018-07-23 23:12:23
21,M11,50,72.5,15,2018-07-23 23:15:12
22,2,50,70,15,2018-07-23 23:18:31
23,18,50,75,15,2018-07-23 23:21:30
24,7,50,75,15,2018-07-23 23:24:50
25,M17,50,72,15,2018-07-23 23:28:16
26,M24,50,70,15,2018-07-23 23:31:02
27,26,50,70,15,2018-07-23 23:34:07
28,30,50,70,15,2018-07-23 23:38:23
29,blank,50,70,15,2018-07-23 23:42:44
30,M6,50,70,15,2018-07-23 23:46:00
31,31,50,70,15,2018-07-23 23:48:38
32,15,50,70,15,2018-07-23 23:51:36
33,M34,50,70,15,2018-07-23 23:54:07
34,M25,50,70,15,2018-07-23 23:56:41
35,M1,50,72,15,2018-07-23 23:59:14
36,M20,50,70,15,2018-07-24 00:01:57
37,10,50,72,15,2018-07-24 00:04:34
38,M46,50,70,15,2018-07-24 00:07:08
39,M40,50,70,15,2018-07-24 00:09:41
40,M30,50,70,15,2018-07-24 00:12:18
41,M26,50,70,15,2018-07-24 00:14:39
42,3,50,70,15,2018-07-24 00:17:09
43,M10,50,70,15,2018-07-24 00:19:58
44,M16,50,70,15,2018-07-24 00:22:40
45,M39,50,70,15,2018-07-24 00:26:19
46,1,50,70,15,2018-07-24 00:28:39
47,35,50,70,15,2018-07-24 00:31:19
48,36,50,70,15,2018-07-24 00:33:49
49,38,50,70,15,2018-07-24 00:36:32
50,M32,50,70,15,2018-07-24 00:39:12
51,6,50,70,15,2018-07-24 00:41:54
52,27,50,70,15,2018-07-24 00:44:25
53,M31,50,70,15,2018-07-24 00:46:57
54,5,50,70,15,2018-07-24 00:49:48
55,13,50,70,15,2018-07-24 00:52:15
56,M9,50,70,15,2018-07-24 00:55:00
57,19,50,70,15,2018-07-24 00:57:32
58,M27,50,70,15,2018-07-24 01:00:09
59,23,50,70,15,2018-07-24 01:02:37
60,M35,50,70,15,2018-07-24 01:05:49
61,16,50,70,15,2018-07-24 01:08:28
62,33,50,70,15,2018-07-24 01:13:56
63,11,50,70,15,2018-07-24 01:16:29
64,29,50,70,15,2018-07-24 01:18:50
65,4,50,70,15,2018-07-24 01:21:21
66,8,50,70,15,2018-07-24 01:24:04
67,M19,50,70,15,2018-07-24 01:26:55
68,20,50,70,15,2018-07-24 01:29:30
69,28,50,70,15,2018-07-24 01:32:11
70,M4,50,70,15,2018-07-24 01:34:48
71,M3,50,70,15,2018-07-24 01:37:25
72,9,50,70,15,2018-07-24 01:39:46
73,M22,50,70,15,2018-07-24 01:42:27
74,M37,50,70,15,2018-07-24 01:44:47
75,M38,50,70,15,2018-07-24 01:47:13
76,25,50,70,15,2018-07-24 01:49:50
77,34,50,70,15,2018-07-24 01:52:23
78,M29,50,70,15,2018-07-24 01:55:26
79,21,50,70,15,2018-07-24 01:57:53
80,M2,50,70,15,2018-07-24 02:00:40
81,M23,50,70,15,2018-07-24 02:03:06
82,M51,50,70,15,2018-07-24 02:05:22
