,SampleID,Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2,delCO2,CH4,delCH4,CO2_vol_air,equiltemp,volair,volwater,pressure,kH_CO2,CO2_mol_water,CO2_mol_air,CO2_conc
1,1,M47,50,70,15,7/23/18 22:17,7/23/18 22:17,1,7/23/18 22:18,671.391066,-17.48850606,18.93479746,-63.61587315,671.391066,15,70,50,0.9,38.34605682,17.5087381,26.12764629,27.04372145
2,2,M28,50,70,15,7/23/18 22:20,7/23/18 22:20,2,7/23/18 22:21,685.7809334,-17.67333924,16.95676019,-63.64932862,685.7809334,15,70,50,0.9,38.34605682,17.88400139,26.6876379,27.62334722
3,3,M12,50,75,15,7/23/18 22:24,7/23/18 22:24,3,7/23/18 22:24,654.1675903,-18.07387466,17.57151167,-64.21012828,654.1675903,15,75,50,0.9,38.34605682,17.05957912,25.45738285,27.6228267
4,4,M7,50,72,15,7/23/18 22:26,7/23/18 22:26,4,7/23/18 22:27,688.2944879,-17.53948985,18.70452072,-64.20831966,688.2944879,15,72,50,0.9,38.34605682,17.94955062,26.78545461,28.26030263
5,5,M13,50,75,15,7/23/18 22:29,7/23/18 22:29,5,7/23/18 22:30,652.443811,-18.13690764,17.07807042,-63.88493893,652.443811,15,75,50,0.9,38.34605682,17.01462589,25.3903008,27.55003854
6,6,M8,50,72,15,7/23/18 22:32,7/23/18 22:32,6,7/23/18 22:32,699.42315,-17.21748257,18.4997661,-63.86188823,699.42315,15,72,50,0.9,38.34605682,18.23976721,27.21853417,28.71722821
7,7,22,50,70,15,7/23/18 22:34,7/23/18 22:34,7,7/23/18 22:35,736.0426857,-17.2940491,19.2046209,-63.94481119,736.0426857,15,70,50,0.9,38.34605682,19.19474248,28.64360865,29.64789729
8,8,M21,50,70,15,7/23/18 22:37,7/23/18 22:37,8,7/23/18 22:38,754.0408877,-18.78032983,7.02681547,-64.40031942,754.0408877,15,70,50,0.9,38.34605682,19.664105,29.34402109,30.37286726
9,9,M43,50,70,15,7/23/18 22:40,7/23/18 22:40,9,7/23/18 22:40,673.6752183,-17.23612989,18.14047,-63.80928893,673.6752183,15,70,50,0.9,38.34605682,17.56830491,26.21653565,27.13572741
10,10,M50,50,70,15,7/23/18 22:42,7/23/18 22:42,10,7/23/18 22:43,652.5596331,-17.40353376,18.4371201,-63.64459275,652.5596331,15,70,50,0.9,38.34605682,17.01764633,25.39480809,26.28518883
11,11,M44,50,70,15,7/23/18 22:45,7/23/18 22:45,11,7/23/18 22:46,660.539448,-17.5817744,18.07885472,-63.562202,660.539448,15,70,50,0.9,38.34605682,17.22574634,25.70534809,26.60661684
12,12,M33,50,72,15,7/23/18 22:48,7/23/18 22:48,12,7/23/18 22:49,692.9692911,-17.00922631,17.81155907,-63.67358868,692.9692911,15,72,50,0.9,38.34605682,18.07146154,26.9673778,28.45224278
