DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               EtalonTemp                DasTemp                   MPVPosition               solenoid_valves           OutletValve               MeasurementMode           species                   HP_12CH4                  HP_12CH4_dry              HP_13CH4                  HR_13CH4                  Delta_iCH4_Raw            HP_Delta_iCH4_Raw         HP_Delta_iCH4_30s         HP_Delta_iCH4_2min        HP_Delta_iCH4_5min        HR_12CH4                  HR_12CH4_dry              HR_Delta_iCH4_Raw         HR_Delta_iCH4_30s         HR_Delta_iCH4_2min        HR_Delta_iCH4_5min        ChemDetect                H2O                       12CO2                     12CO2_dry                 13CO2                     Delta_Raw_iCO2            Delta_30s_iCO2            Delta_2min_iCO2           Delta_5min_iCO2           peak87_baseave_spec       peak88_baseave            peakheight_5              peak0_spec                ch4_splinemax             peak30_spec               peak_30                   SSIMPressure              PPF_res                   PPF_base_offset           PPF_slope_offset          PPF_shift                 PPF_CH4_conc              PPF_H2O_conc              PPF_C2H6_conc             PPF_C2H4_conc             PPF_NH3_conc              PPF_H2S_conc              
2018-07-24                02:00:20.726              204.08357323              4898.005757               1532397620.727            0                         963                       1.4797411964E+02          4.5000328064E+01          4.5000633240E+01          4.5011772156E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9249815376E+04          1.0000000000E+00          1.0600000000E+02          6.5369251967E+00          6.6316800642E+00          6.9676558742E-02          6.9707133577E-02          -6.5014197056E+01         -6.5014197056E+01         -6.3189775483E+01         -6.2401624160E+01         -6.3097703155E+01         6.5197957000E+00          6.6449820464E+00          -6.6476399006E+01         -7.0601673665E+01         -5.7565055841E+01         -6.3872344929E+01         1.0000000000E+00          1.1661996938E+00          7.3878322007E+02          7.5429004698E+02          8.3131755264E+00          -1.9222570945E+01         -1.8616247420E+01         -1.7483208935E+01         -1.7619234198E+01         4.5016672736E+02          1.3157359096E+01          8.8845614436E+00          1.5106690767E+01          1.4899119638E+03          7.1138181322E+01          7.1360209632E+01          0.0000000000E+00          2.5505308690E-01          2.3425647996E+00          6.0254405885E-01          5.6856364731E-04          6.3678198386E+00          1.1757195072E+00          -1.5555068620E+00         1.2305458016E-01          8.9872768650E-04          -1.7782850330E+01         
2018-07-24                02:00:21.213              204.08357887              4898.005893               1532397621.214            0                         963                       1.4795120239E+02          4.5000328064E+01          4.5000633240E+01          4.5011772156E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9217554688E+04          1.0000000000E+00          1.0500000000E+02          6.5369251967E+00          6.6316800642E+00          6.9676558742E-02          6.9707133577E-02          -6.5014197056E+01         -6.5014197056E+01         -6.3189775483E+01         -6.2401624160E+01         -6.3097703155E+01         6.5197957000E+00          6.6449820464E+00          -6.6476399006E+01         -7.0601673665E+01         -5.7565055841E+01         -6.3872344929E+01         1.0000000000E+00          1.1661996938E+00          7.3851371081E+02          7.5402975865E+02          8.3103068386E+00          -1.9222570945E+01         -1.8616247420E+01         -1.7483208935E+01         -1.7619234198E+01         4.5000255944E+02          1.3157359096E+01          8.8845614436E+00          1.5106690767E+01          1.4899119638E+03          7.1138181322E+01          7.1360209632E+01          0.0000000000E+00          2.5505308690E-01          2.3425647996E+00          6.0254405885E-01          5.6856364731E-04          6.3678198386E+00          1.1757195072E+00          -1.5555068620E+00         1.2305458016E-01          8.9872768650E-04          -1.7782850330E+01         
2018-07-24                02:00:21.694              204.08358443              4898.006026               1532397621.695            0                         963                       1.4794404451E+02          4.5000328064E+01          4.5000633240E+01          4.5011772156E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9202235834E+04          1.0000000000E+00          1.0600000000E+02          6.5369251967E+00          6.6316800642E+00          6.9676558742E-02          6.9707133577E-02          -6.5014197056E+01         -6.5014197056E+01         -6.3189775483E+01         -6.2401624160E+01         -6.3097703155E+01         6.5197957000E+00          6.6449820464E+00          -6.6476399006E+01         -7.0601673665E+01         -5.7565055841E+01         -6.3872344929E+01         1.0000000000E+00          1.1661996938E+00          7.3851371081E+02          7.5402975865E+02          8.3159443273E+00          -1.8557237915E+01         -1.8722584737E+01         -1.7456834911E+01         -1.7628441041E+01         4.5000255944E+02          1.3153270067E+01          8.8845614436E+00          1.5106690767E+01          1.4899119638E+03          7.1138181322E+01          7.1360209632E+01          0.0000000000E+00          2.5505308690E-01          2.3425647996E+00          6.0254405885E-01          5.6856364731E-04          6.3678198386E+00          1.1757195072E+00          -1.5555068620E+00         1.2305458016E-01          8.9872768650E-04          -1.7782850330E+01         
2018-07-24                02:00:23.032              204.08359991              4898.006398               1532397623.032            0                         963                       1.4794415379E+02          4.5000328064E+01          4.5000633240E+01          4.5011772156E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9137506258E+04          1.0000000000E+00          1.5000000000E+02          6.4685673871E+00          6.5623272166E+00          6.9104494873E-02          6.9100709275E-02          -6.2890577832E+01         -6.2890577832E+01         -6.3130904017E+01         -6.2315104248E+01         -6.3092672659E+01         6.4672725870E+00          6.5915715968E+00          -6.7099295707E+01         -6.8938484350E+01         -5.7669350428E+01         -6.3916998198E+01         1.0000000000E+00          1.1661480983E+00          7.3851371081E+02          7.5402975865E+02          8.3159443273E+00          -1.8557237915E+01         -1.8722584737E+01         -1.7456834911E+01         -1.7628441041E+01         4.5000255944E+02          1.3153270067E+01          8.8105167686E+00          1.4990991894E+01          1.4744022577E+03          7.1135033998E+01          7.1357847981E+01          0.0000000000E+00          2.7076927680E-01          2.3946307104E+00          6.2102878951E-01          6.5682559443E-04          6.3107121708E+00          1.1762213329E+00          -1.6209055179E+00         1.2028893384E-01          1.0913876958E-03          -1.9990416580E+01         
2018-07-24                02:00:24.364              204.08361532              4898.006768               1532397624.364            0                         963                       1.4795396423E+02          4.5000328064E+01          4.5000633240E+01          4.5011772156E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9082097656E+04          1.0000000000E+00          1.0600000000E+02          6.4685673871E+00          6.5623272166E+00          6.9104494873E-02          6.9100709275E-02          -6.2890577832E+01         -6.2890577832E+01         -6.3130904017E+01         -6.2315104248E+01         -6.3092672659E+01         6.4672725870E+00          6.5915715968E+00          -6.7099295707E+01         -6.8938484350E+01         -5.7669350428E+01         -6.3916998198E+01         1.0000000000E+00          1.1661480983E+00          7.3851371081E+02          7.5402975865E+02          8.3159443273E+00          -1.8557237915E+01         -1.8722584737E+01         -1.7456834911E+01         -1.7628441041E+01         4.5000255944E+02          1.3149237013E+01          8.8105167686E+00          1.4990991894E+01          1.4744022577E+03          7.1135033998E+01          7.1357847981E+01          0.0000000000E+00          2.7076927680E-01          2.3946307104E+00          6.2102878951E-01          6.5682559443E-04          6.3107121708E+00          1.1762213329E+00          -1.6209055179E+00         1.2028893384E-01          1.0913876958E-03          -1.9990416580E+01         
2018-07-24                02:00:24.846              204.08362091              4898.006902               1532397624.847            0                         963                       1.4795396423E+02          4.5000328064E+01          4.5000633240E+01          4.5011772156E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9082097656E+04          1.0000000000E+00          1.0500000000E+02          6.4685673871E+00          6.5623272166E+00          6.9104494873E-02          6.9100709275E-02          -6.2890577832E+01         -6.2890577832E+01         -6.3130904017E+01         -6.2315104248E+01         -6.3092672659E+01         6.4672725870E+00          6.5915715968E+00          -6.7099295707E+01         -6.8938484350E+01         -5.7669350428E+01         -6.3916998198E+01         1.0000000000E+00          1.1661480983E+00          7.3856289728E+02          7.5407926179E+02          8.3164902810E+00          -1.8557237915E+01         -1.8722584737E+01         -1.7456834911E+01         -1.7628441041E+01         4.5003252072E+02          1.3149237013E+01          8.8105167686E+00          1.4990991894E+01          1.4744022577E+03          7.1135033998E+01          7.1357847981E+01          0.0000000000E+00          2.7076927680E-01          2.3946307104E+00          6.2102878951E-01          6.5682559443E-04          6.3107121708E+00          1.1762213329E+00          -1.6209055179E+00         1.2028893384E-01          1.0913876958E-03          -1.9990416580E+01         
2018-07-24                02:00:25.335              204.08362656              4898.007038               1532397625.335            0                         963                       1.4802180481E+02          4.5000415257E+01          4.5000720433E+01          4.5011888413E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9128485863E+04          1.0000000000E+00          1.0600000000E+02          6.4685673871E+00          6.5623272166E+00          6.9104494873E-02          6.9100709275E-02          -6.2890577832E+01         -6.2890577832E+01         -6.3130904017E+01         -6.2315104248E+01         -6.3092672659E+01         6.4672725870E+00          6.5915715968E+00          -6.7099295707E+01         -6.8938484350E+01         -5.7669350428E+01         -6.3916998198E+01         1.0000000000E+00          1.1661480983E+00          7.3856289728E+02          7.5407926179E+02          8.3110545528E+00          -1.9198717181E+01         -1.8823001822E+01         -1.7478483300E+01         -1.7646301080E+01         4.5003252072E+02          1.3145562699E+01          8.8105167686E+00          1.4990991894E+01          1.4744022577E+03          7.1135033998E+01          7.1357847981E+01          0.0000000000E+00          2.7076927680E-01          2.3946307104E+00          6.2102878951E-01          6.5682559443E-04          6.3107121708E+00          1.1762213329E+00          -1.6209055179E+00         1.2028893384E-01          1.0913876958E-03          -1.9990416580E+01         
2018-07-24                02:00:26.681              204.08364215              4898.007412               1532397626.682            0                         963                       1.4810438058E+02          4.5000419617E+01          4.5000724792E+01          4.5011894226E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9321521334E+04          1.0000000000E+00          1.5000000000E+02          6.4186438994E+00          6.5118476704E+00          6.8462382298E-02          6.8489079951E-02          -6.4401182825E+01         -6.4401182825E+01         -6.3528922766E+01         -6.2318057762E+01         -6.3092850103E+01         6.4197105459E+00          6.5430897303E+00          -6.8505391618E+01         -6.8526986325E+01         -5.7830251685E+01         -6.3974703034E+01         1.0000000000E+00          1.1681561222E+00          7.3856289728E+02          7.5407926179E+02          8.3110545528E+00          -1.9198717181E+01         -1.8823001822E+01         -1.7478483300E+01         -1.7646301080E+01         4.5003252072E+02          1.3145562699E+01          8.7283534207E+00          1.4874382346E+01          1.4629544100E+03          7.1257523456E+01          7.1481129295E+01          0.0000000000E+00          2.4035288971E-01          2.4667837806E+00          6.9665739699E-01          6.0597792628E-04          6.2541801448E+00          1.1776525467E+00          -1.6884507215E+00         1.1828089994E-01          -1.7083793166E-03         -2.2143912049E+01         
2018-07-24                02:00:28.023              204.08365767              4898.007784               1532397628.023            0                         963                       1.4795498422E+02          4.5000419617E+01          4.5000724792E+01          4.5011894226E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9222409706E+04          1.0000000000E+00          1.0600000000E+02          6.4186438994E+00          6.5118476704E+00          6.8462382298E-02          6.8489079951E-02          -6.4401182825E+01         -6.4401182825E+01         -6.3528922766E+01         -6.2318057762E+01         -6.3092850103E+01         6.4197105459E+00          6.5430897303E+00          -6.8505391618E+01         -6.8526986325E+01         -5.7830251685E+01         -6.3974703034E+01         1.0000000000E+00          1.1681561222E+00          7.3856289728E+02          7.5407926179E+02          8.3110545528E+00          -1.9198717181E+01         -1.8823001822E+01         -1.7478483300E+01         -1.7646301080E+01         4.5003252072E+02          1.3151075244E+01          8.7283534207E+00          1.4874382346E+01          1.4629544100E+03          7.1257523456E+01          7.1481129295E+01          0.0000000000E+00          2.4035288971E-01          2.4667837806E+00          6.9665739699E-01          6.0597792628E-04          6.2541801448E+00          1.1776525467E+00          -1.6884507215E+00         1.1828089994E-01          -1.7083793166E-03         -2.2143912049E+01         
2018-07-24                02:00:28.505              204.08366325              4898.007918               1532397628.505            0                         963                       1.4794180298E+02          4.5000419617E+01          4.5000724792E+01          4.5011894226E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9190414062E+04          1.0000000000E+00          1.0500000000E+02          6.4186438994E+00          6.5118476704E+00          6.8462382298E-02          6.8489079951E-02          -6.4401182825E+01         -6.4401182825E+01         -6.3528922766E+01         -6.2318057762E+01         -6.3092850103E+01         6.4197105459E+00          6.5430897303E+00          -6.8505391618E+01         -6.8526986325E+01         -5.7830251685E+01         -6.3974703034E+01         1.0000000000E+00          1.1681561222E+00          7.3819536051E+02          7.5373187541E+02          8.3072258476E+00          -1.9198717181E+01         -1.8823001822E+01         -1.7478483300E+01         -1.7646301080E+01         4.4980864067E+02          1.3151075244E+01          8.7283534207E+00          1.4874382346E+01          1.4629544100E+03          7.1257523456E+01          7.1481129295E+01          0.0000000000E+00          2.4035288971E-01          2.4667837806E+00          6.9665739699E-01          6.0597792628E-04          6.2541801448E+00          1.1776525467E+00          -1.6884507215E+00         1.1828089994E-01          -1.7083793166E-03         -2.2143912049E+01         
