Syringe,H2O_mL,air_mL,eq_temp,ResetTime
VT049,70,70,13.5,2019-08-07 15:41:18
VT002,70,70,13.5,2019-08-07 15:44:05
VT025,70,70,13.5,2019-08-07 15:46:41
VT010,70,70,13.5,2019-08-07 15:49:17
VT043, 70,70, 13.5, 2019-08-07 15:52:22
VT042, 70, 70, 13.5,2019-08-07 15:55:13
VT032, 70, 70, 13.5,2019-08-07 15:57:51
VT027, 70, 70, 13.5, 2019-08-07 16:00:24
VT024, 70, 70, 13.5, 2019-08-07 16:02:56
VT038, 70, 70, 13.5, 2019-08-07 16:05:35
VT022, 70, 70, 13.5, 2019-08-07 16:07:55
VT041, 70, 70, 13.5, 2019-08-07 16:10:27
VT008, 70,70, 13.5, 2019-08-07 16:13:06
VT001, 70, 70, 13.5, 2019-08-07 16:15:44
VT005, 70, 70, 13.5, 2019-08-07 16:18:51
VT014, 70, 70, 13.5, 2019-08-07 16:21:20
VT015, 70, 70, 13.5, 2019-08-07 16:24:16
VT017, 70, 70, 13.5, 2019-08-07 16:26:56
VT018, 70, 70, 13.5, 2019-08-07 16:29:44
VT021, 70, 70, 13.5, 2019-08-07 16:32:07
VT026, 70, 70, 13.5, 2019-08-07 16:34:50
VT028, 70, 70, 13.5, 2019-08-07 16:38:17
VT031, 70, 70, 13.5, 2019-08-07 16:40:49
VT033, 70, 70, 13.5, 2019-08-07 16:43:12
VT034, 70, 70, 13.5, 2019-08-07 16:45:39
VT035, 70, 70, 13.5, 2019-08-07 16:48:13
VT036, 70, 70, 13.5, 2019-08-07 16:50:36
VT037, 70, 70, 13.5, 2019-08-07 16:53:08
VT039, 70, 70, 13.5, 2019-08-07 16:55:35
VT040, 70, 70, 13.5, 2019-08-07 16:57:58
VT044, 70, 70, 13.5, 2019-08-07 17:00:24
