"","Syringe","H2O_mL","air_mL","eq_temp","ResetTime","DATETIME","samplenum","ENDTIME","CO2","delCO2","CH4","delCH4"
"1","VT049",70,70,13.5,"2019-08-07 15:41:18",2019-08-07 15:41:18,1,2019-08-07 15:41:48,438.803703528406,-10.1474825436949,1.8867413646087,-50.4455668446522
"2","VT002",70,70,13.5,"2019-08-07 15:44:05",2019-08-07 15:44:05,2,2019-08-07 15:44:35,429.441370045833,-9.63371148266042,1.88072701489583,-51.2465070178333
"3","VT025",70,70,13.5,"2019-08-07 15:46:41",2019-08-07 15:46:41,3,2019-08-07 15:47:11,420.588406049583,-9.2477016347,1.8821747396625,-49.120304312125
"4","VT010",70,70,13.5,"2019-08-07 15:49:17",2019-08-07 15:49:17,4,2019-08-07 15:49:47,424.0376517576,-8.95952669562,1.885339735896,-49.84345378312
"5","VT043",70,70,13.5," 2019-08-07 15:52:22",2019-08-07 15:52:22,5,2019-08-07 15:52:52,461.0805023566,-10.458069647008,1.88974761574,-48.23436075624
"6","VT042",70,70,13.5,"2019-08-07 15:55:13",2019-08-07 15:55:13,6,2019-08-07 15:55:43,451.719156780208,-10.3057977703083,1.88881982335,-46.43328156875
"7","VT032",70,70,13.5,"2019-08-07 15:57:51",2019-08-07 15:57:51,7,2019-08-07 15:58:21,2605.38603416875,-17.9389708204167,0.752975357745,-51.51511840925
"8","VT027",70,70,13.5," 2019-08-07 16:00:24",2019-08-07 16:00:24,8,2019-08-07 16:00:54,3585.04378031042,-18.4959248135625,0.186482016642917,-42.9014829982917
"9","VT024",70,70,13.5," 2019-08-07 16:02:56",2019-08-07 16:02:56,9,2019-08-07 16:03:26,3522.78718781667,-18.3233504927708,0.19116073264375,-50.633832403375
"10","VT038",70,70,13.5," 2019-08-07 16:05:35",2019-08-07 16:05:35,10,2019-08-07 16:06:05,3425.825659175,-18.4908103613333,0.22768939213,-80.263354121875
"11","VT022",70,70,13.5," 2019-08-07 16:07:55",2019-08-07 16:07:55,11,2019-08-07 16:08:25,2496.24672082917,-12.716816543875,0.263924785341667,-75.1060639503333
"12","VT041",70,70,13.5," 2019-08-07 16:10:27",2019-08-07 16:10:27,12,2019-08-07 16:10:57,3248.11049281389,-15.6173034054236,0.2514776293625,-67.7468591805217
"13","VT008",70,70,13.5," 2019-08-07 16:13:06",2019-08-07 16:13:06,13,2019-08-07 16:13:36,2888.77068327292,-13.7608640101458,0.2721315555925,-82.781748086875
"14","VT001",70,70,13.5," 2019-08-07 16:15:44",2019-08-07 16:15:44,14,2019-08-07 16:16:14,3551.96254406522,-18.4176419257174,0.181838035813478,-35.2577050574261
"15","VT005",70,70,13.5," 2019-08-07 16:18:51",2019-08-07 16:18:51,15,2019-08-07 16:19:21,2881.76594233125,-12.2656312667708,0.24863631900125,-44.482077798175
"16","VT014",70,70,13.5," 2019-08-07 16:21:20",2019-08-07 16:21:20,16,2019-08-07 16:21:50,1195.84098558681,-15.9979564768333,0.255072842200833,-85.8646809503333
"17","VT015",70,70,13.5," 2019-08-07 16:24:16",2019-08-07 16:24:16,17,2019-08-07 16:24:46,3479.83348488125,-18.4641528209792,0.2298601902475,-89.7402988191667
"18","VT017",70,70,13.5," 2019-08-07 16:26:56",2019-08-07 16:26:56,18,2019-08-07 16:27:26,2422.45884248542,-3.68437566181875,0.13757941183125,-89.006523111125
"19","VT018",70,70,13.5," 2019-08-07 16:29:44",2019-08-07 16:29:44,19,2019-08-07 16:30:14,3217.38348035625,-14.0012291788125,0.22612858748375,-82.8798425415
"20","VT021",70,70,13.5," 2019-08-07 16:32:07",2019-08-07 16:32:07,20,2019-08-07 16:32:37,2975.34182878542,-14.8676340517083,0.2010040451775,-78.63794018125
"21","VT026",70,70,13.5," 2019-08-07 16:34:50",2019-08-07 16:34:50,21,2019-08-07 16:35:20,3024.983461966,-18.23065912474,0.3841533410984,-70.68371532964
"22","VT028",70,70,13.5," 2019-08-07 16:38:17",2019-08-07 16:38:17,22,2019-08-07 16:38:47,2327.64118126875,-1.92175475566667,0.11291811724,9.98505105185
"23","VT031",70,70,13.5," 2019-08-07 16:40:49",2019-08-07 16:40:49,23,2019-08-07 16:41:19,607.060951096875,-7.25561904965833,0.113259644699167,-84.6471028985483
"24","VT033",70,70,13.5," 2019-08-07 16:43:12",2019-08-07 16:43:12,24,2019-08-07 16:43:42,559.2648806636,-14.25285843714,0.1096764960824,-47.291215484824
"25","VT034",70,70,13.5," 2019-08-07 16:45:39",2019-08-07 16:45:39,25,2019-08-07 16:46:09,3041.398789222,-18.16597202564,0.1811472426308,-44.01774116274
"26","VT035",70,70,13.5," 2019-08-07 16:48:13",2019-08-07 16:48:13,26,2019-08-07 16:48:43,3510.677138138,-18.43027617086,0.209647231198,-78.03047308222
"27","VT036",70,70,13.5," 2019-08-07 16:50:36",2019-08-07 16:50:36,27,2019-08-07 16:51:06,2505.52868515,-7.1581988089875,0.1434130615,-52.284636248965
"28","VT037",70,70,13.5," 2019-08-07 16:53:08",2019-08-07 16:53:08,28,2019-08-07 16:53:38,3369.95409678542,-16.7790549766042,0.225531230152917,-74.5424043264583
"29","VT039",70,70,13.5," 2019-08-07 16:55:35",2019-08-07 16:55:35,29,2019-08-07 16:56:05,3273.51280439792,-18.5305612015,0.384298777329583,-62.68813420725
"30","VT040",70,70,13.5," 2019-08-07 16:57:58",2019-08-07 16:57:58,30,2019-08-07 16:58:28,3516.786534672,-18.45400185232,0.2068396899376,-58.92672201676
"31","VT044",70,70,13.5," 2019-08-07 17:00:24",2019-08-07 17:00:24,31,2019-08-07 17:00:54,3531.685634064,-17.7317638984,0.188130965612,-63.7038843616
