Syringe,H2O_mL,air_mL,eq_temp,ResetTime
VT005,70,70,22,2019-08-08 21:25:56
VT007,70,70,22,2019-08-08 21:28:14
VT013,70,50,22,2019-08-08 21:31:04
VT0040,70,70,22,2019-08-08 21:33:43
017,70,70,22,2019-08-08 21:36:16
VT018,70,70,22,2019-08-08 21:38:52
VT045,70,70,22,2019-08-08 21:41:20
VT012,70,70,22,2019-08-08 21:43:35
VT037,70,70,22,2019-08-08 21:45:54
VT010,70,70,22,2019-08-08 21:48:26
VT034,70,70,22,2019-08-08 21:51:05
012,70,70,22,2019-08-08 21:53:50
VT014,70,70,22,2019-08-08 21:56:19
VT050,70,70,22,2019-08-08 21:58:51
014,70,70,22,2019-08-08 22:01:24
VT033,70,70,22,2019-08-08 22:03:52
004,70,70,22,2019-08-08 22:07:09
VT031,70,70,22,2019-08-08 22:09:34
VT023,70,70,22,2019-08-08 22:12:05
VT036,70,70,22,2019-08-08 22:14:21
VT028,70,70,22,2019-08-08 22:16:49
blank,70,70,22,2019-08-08 22:19:15
VT020,70,70,22,2019-08-08 22:24:52
VT025,70,70,22,2019-08-08 22:27:20
VT038,70,70,22,2019-08-08 22:29:43
011,70,70,22,2019-08-08 22:32:18
020,70,70,22,2019-08-08 22:34:51
tank1,70,70,22,2019-08-08 22:37:14
tank2,70,70,22,2019-08-08 22:39:40
022,70,70,22,2019-08-08 22:42:18
024,70,70,22,2019-08-08 22:44:44
005,70,70,22,2019-08-08 22:47:02
029,70,70,22,2019-08-08 22:49:31
015,70,70,22,2019-08-08 22:52:01
013,70,70,22,2019-08-08 22:54:27
006,70,70,22,2019-08-08 22:56:57
026,70,70,22,2019-08-08 22:59:36
028,70,70,22,2019-08-08 23:02:05
030,70,70,22,2019-08-08 23:04:31
VT019,70,70,22,2019-08-08 23:06:52
VT021,70,70,22,2019-08-08 23:09:16
VT009,70,70,22,2019-08-08 23:11:39
VT029,70,70,22,2019-08-08 23:14:05
VT048,70,70,22,2019-08-08 23:16:30
VT006,70,70,22,2019-08-08 23:18:56
VT004,70,70,22,2019-08-08 23:21:20
VT011,70,70,22,2019-08-08 23:23:51
VT017,70,70,22,2019-08-08 23:26:12
VT046,70,70,22,2019-08-08 23:28:40
VT024,70,70,22,2019-08-08 23:31:09
VT001,70,70,22,2019-08-08 23:33:34
VT047,70,70,22,2019-08-08 23:35:53
VT026,70,70,22,2019-08-08 23:39:39
VT043,70,70,22,2019-08-08 23:42:08
VT002,70,70,22,2019-08-08 23:44:34
VT003,70,70,22,2019-08-08 23:46:46
VT032,70,70,22,2019-08-08 23:49:12
VT035,70,70,22,2019-08-08 23:51:29
VT027,70,70,22,2019-08-08 23:53:49
VT042,70,70,22,2019-08-08 23:56:15
VT022,70,70,22,2019-08-08 23:58:39
VT015,70,70,22,2019-08-09 00:01:00
VT041,70,70,22,2019-08-09 00:03:17





















