"","Syringe","H2O_mL","air_mL","eq_temp","ResetTime","DATETIME","samplenum","ENDTIME","CO2","delCO2","CH4","delCH4"
"1","VT016",70,70,22,"2019-08-09 20:36:32",2019-08-09 20:36:32,1,2019-08-09 20:37:02,3574.77805595,-21.5541431810833,7.6407457682875,-57.570095692875
"2","VT044",70,70,22,"2019-08-09 20:38:52",2019-08-09 20:38:52,2,2019-08-09 20:39:22,3466.54733306458,-21.7455943511667,5.2716600659875,-55.577087948625
"3","VT030",70,70,22,"2019-08-09 20:41:17",2019-08-09 20:41:17,3,2019-08-09 20:41:47,3256.1529507125,-21.257158537375,4.08499819578333,-55.2484897382083
"4","VT008",70,70,22,"2019-08-09 20:43:46",2019-08-09 20:43:46,4,2019-08-09 20:44:16,3119.6504278625,-21.4502405753333,4.2994380976875,-57.0266148835
"5","VT049",70,70,22,"2019-08-09 20:46:03",2019-08-09 20:46:03,5,2019-08-09 20:46:33,3098.96400986667,-21.0881837525833,6.983454295125,-59.689026766125
"6","VT012",70,70,22,"2019-08-09 20:48:27",2019-08-09 20:48:27,6,2019-08-09 20:48:57,3008.87437091232,-20.7825037377971,10.5760983962174,-59.7881553483478
"7","VT019",70,70,22,"2019-08-09 20:50:48",2019-08-09 20:50:48,7,2019-08-09 20:51:18,3071.630010786,-21.01698305006,13.08767397188,-59.5329864208
"8","VT014",70,70,22,"2019-08-09 20:53:14",2019-08-09 20:53:14,8,2019-08-09 20:53:44,2960.76578509583,-20.9190062577292,9.95120049635,-57.814345908625
"9","VT048",70,70,22,"2019-08-09 20:55:38",2019-08-09 20:55:38,9,2019-08-09 20:56:08,3189.1704841,-20.8808350902917,14.5488373788333,-57.845452058
"10","VT039",70,70,22,"2019-08-09 20:57:58",2019-08-09 20:57:58,10,2019-08-09 20:58:28,2961.08062643116,-20.7462721016449,11.9917695986522,-59.5622658008696
"11","VT037",70,70,22,"2019-08-09 21:00:54",2019-08-09 21:00:54,11,2019-08-09 21:01:24,3337.56838192917,-20.3952216015417,16.8568137637083,-62.925530980375
"12","VT003",70,70,22,"2019-08-09 21:03:17",2019-08-09 21:03:17,12,2019-08-09 21:03:47,3031.67047992708,-20.4142411932292,12.798662151375,-64.14206191075
"13","VT004",70,70,22,"2019-08-09 21:05:30",2019-08-09 21:05:30,13,2019-08-09 21:06:00,3949.76078782083,-20.3269009315833,45.5435429195,-61.0754382652917
"14","VT002",70,70,22,"2019-08-09 21:08:05",2019-08-09 21:08:05,14,2019-08-09 21:08:35,3620.69766739928,-22.4858502142464,14.7643836627826,-61.3177589726522
"15","VT005",70,70,22,"2019-08-09 21:10:36",2019-08-09 21:10:36,15,2019-08-09 21:11:06,3686.154704175,-22.3211578095417,14.5341140952083,-60.7274880855
