,Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2,delCO2,CH4,delCH4
1,VT016,70,70,22,8/9/19 20:36,8/9/19 20:36,1,8/9/19 20:37,3574.778056,-21.55414318,7.640745768,-57.57009569
2,VT044,70,70,22,8/9/19 20:38,8/9/19 20:38,2,8/9/19 20:39,3466.547333,-21.74559435,5.271660066,-55.57708795
3,VT030,70,70,22,8/9/19 20:41,8/9/19 20:41,3,8/9/19 20:41,3256.152951,-21.25715854,4.084998196,-55.24848974
4,VT008,70,70,22,8/9/19 20:43,8/9/19 20:43,4,8/9/19 20:44,3119.650428,-21.45024058,4.299438098,-57.02661488
5,VT049,70,70,22,8/9/19 20:46,8/9/19 20:46,5,8/9/19 20:46,3098.96401,-21.08818375,6.983454295,-59.68902677
6,VT012,70,70,22,8/9/19 20:48,8/9/19 20:48,6,8/9/19 20:48,3008.874371,-20.78250374,10.5760984,-59.78815535
7,VT019,70,70,22,8/9/19 20:50,8/9/19 20:50,7,8/9/19 20:51,3071.630011,-21.01698305,13.08767397,-59.53298642
8,VT014,70,70,22,8/9/19 20:53,8/9/19 20:53,8,8/9/19 20:53,2960.765785,-20.91900626,9.951200496,-57.81434591
9,VT048,70,70,22,8/9/19 20:55,8/9/19 20:55,9,8/9/19 20:56,3189.170484,-20.88083509,14.54883738,-57.84545206
10,VT039,70,70,22,8/9/19 20:57,8/9/19 20:57,10,8/9/19 20:58,2961.080626,-20.7462721,11.9917696,-59.5622658
11,VT037,70,70,22,8/9/19 21:00,8/9/19 21:00,11,8/9/19 21:01,3337.568382,-20.3952216,16.85681376,-62.92553098
12,VT003,70,70,22,8/9/19 21:03,8/9/19 21:03,12,8/9/19 21:03,3031.67048,-20.41424119,12.79866215,-64.14206191
13,VT004,70,70,22,8/9/19 21:05,8/9/19 21:05,13,8/9/19 21:06,3949.760788,-20.32690093,45.54354292,-61.07543827
14,VT002,70,70,22,8/9/19 21:08,8/9/19 21:08,14,8/9/19 21:08,3620.697667,-22.48585021,14.76438366,-61.31775897
15,VT005,70,70,22,8/9/19 21:10,8/9/19 21:10,15,8/9/19 21:11,3686.154704,-22.32115781,14.5341141,-60.72748809
16,VT032,70,70,22,8/9/19 21:12,8/9/19 21:12,16,8/9/19 21:13,3360.725246,-23.04637439,7.013403177,-57.3328194
17,VT006,70,70,22,8/9/19 21:15,8/9/19 21:15,17,8/9/19 21:15,3395.637731,-22.20813203,7.150645652,-57.40926053
18,VT038,70,70,22,8/9/19 21:17,8/9/19 21:17,18,8/9/19 21:17,2955.277073,-22.1634604,7.888484156,-57.65918052
19,VT015,70,70,22,8/9/19 21:19,8/9/19 21:19,19,8/9/19 21:20,2991.107868,-22.67471828,7.238219462,-57.54622621
20,U040,70,70,22,8/9/19 21:22,8/9/19 21:22,20,8/9/19 21:22,3195.259382,-22.55894336,6.774389159,-60.79435325
21,U041,70,70,22,8/9/19 21:24,8/9/19 21:24,21,8/9/19 21:25,3079.251851,-22.66981275,6.754224388,-60.70231182
22,U046,70,70,22,8/9/19 21:27,8/9/19 21:27,22,8/9/19 21:27,3014.279639,-22.75491086,6.711957644,-60.75682963
23,U039,70,70,22,8/9/19 21:29,8/9/19 21:29,23,8/9/19 21:30,3111.950517,-22.87168594,6.668824551,-60.05504981
24,U032,70,70,22,8/9/19 21:31,8/9/19 21:31,24,8/9/19 21:32,3072.04994,-22.10757006,6.790641735,-59.89449238
25,U043,70,70,22,8/9/19 21:34,8/9/19 21:34,25,8/9/19 21:34,2963.709657,-22.37917998,6.451860944,-60.12464202
26,U048,70,70,22,8/9/19 21:36,8/9/19 21:36,26,8/9/19 21:37,3076.527905,-22.10302694,6.540103124,-59.92181648
27,U047,70,80,22,8/9/19 21:39,8/9/19 21:39,27,8/9/19 21:39,3113.687737,-21.44016582,6.492059303,-60.98919905
28,U050,70,70,22,8/9/19 21:41,8/9/19 21:41,28,8/9/19 21:42,3418.825109,-20.67207628,7.094112925,-61.45151827
29,U027,70,70,22,8/9/19 21:44,8/9/19 21:44,29,8/9/19 21:44,3624.664434,-20.06118789,7.151548555,-62.17195225
30,U049,70,90,22,8/9/19 21:46,8/9/19 21:46,30,8/9/19 21:47,2762.541476,-19.43454977,5.273395015,-61.32429681
31,U044,70,70,22,8/9/19 21:48,8/9/19 21:48,31,8/9/19 21:49,2904.774674,-16.7382464,7.693374018,-61.58222192
32,U042,70,70,22,8/9/19 21:51,8/9/19 21:51,32,8/9/19 21:52,2874.62516,-13.79790142,8.2249437,-61.71623435
33,U038,70,70,22,8/9/19 21:56,8/9/19 21:56,33,8/9/19 21:56,2904.966677,-7.73007986,9.248477746,-61.47881938
34,VT036,70,70,22,8/9/19 21:58,8/9/19 21:58,34,8/9/19 21:58,2719.653105,-1.94068957,8.76925036,-61.53934822
35,VT010,70,70,22,8/9/19 22:00,8/9/19 22:00,35,8/9/19 22:01,2826.016232,1.21785089,9.486281514,-61.78869605
36,VT031,70,70,22,8/9/19 22:03,8/9/19 22:03,36,8/9/19 22:03,2702.619146,2.113689909,9.267158168,-60.94599154
37,VT035,70,70,22,8/9/19 22:05,8/9/19 22:05,37,8/9/19 22:05,2732.947503,3.038274486,9.396371838,-61.60482158
38,VT041,70,70,22,8/9/19 22:08,8/9/19 22:08,38,8/9/19 22:08,2688.741599,3.343541111,9.510741947,-60.92393367
39,VT046,70,70,22,8/9/19 22:10,8/9/19 22:10,39,8/9/19 22:10,2721.341508,4.875159501,8.774974777,-61.47171094
40,VT050,70,70,22,8/9/19 22:12,8/9/19 22:12,40,8/9/19 22:13,2744.424474,5.926396641,8.779488397,-60.41852882
41,VT042,70,70,22,8/9/19 22:15,8/9/19 22:15,41,8/9/19 22:15,2574.204639,4.676578268,7.908370436,-60.77022904
