,Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2,delCO2,CH4,delCH4,
2,VT035,70,70,20,8/15/2019 21:21,8/15/2019 21:21,2,8/15/2019 21:21,2476.311426,-22.66397891,10.32460607,-60.96880647,
3,VT014,70,70,20,8/15/2019 21:23,8/15/2019 21:23,3,8/15/2019 21:24,2305.844905,-24.15974545,10.31128518,-61.97190614,
4,VT002,70,70,20,8/15/2019 21:25,8/15/2019 21:25,4,8/15/2019 21:26,2287.636207,-22.53877207,9.770446562,-61.97892894,
5,VT007,70,70,20,8/15/2019 21:28,8/15/2019 21:28,5,8/15/2019 21:28,2300.958169,-22.01814851,9.746259114,-61.1614735,
6,VT046,70,70,20,8/15/2019 21:30,8/15/2019 21:30,6,8/15/2019 21:31,2439.154594,-21.38417605,9.877179482,-61.26310613,
7,VT048,70,70,20,8/15/2019 21:32,8/15/2019 21:32,7,8/15/2019 21:33,2236.785324,-19.79692247,9.696352804,-60.90165202,
8,VT040,70,70,20,8/15/2019 21:35,8/15/2019 21:35,8,8/15/2019 21:35,2365.497956,-18.72967026,9.900448072,-61.61758573,
9,U027,70,70,20.5,8/15/2019 21:37,8/15/2019 21:37,9,8/15/2019 21:37,2312.449754,-19.2812503,8.916975749,-61.42543981,
10,U014,70,70,20.5,8/15/2019 21:39,8/15/2019 21:39,10,8/15/2019 21:40,2165.121024,-17.48693162,9.382383153,-61.37729503,
11,U010,70,70,20.5,8/15/2019 21:42,8/15/2019 21:42,11,8/15/2019 21:42,2279.684926,-16.72625862,9.068706581,-61.69915725,
12,VT025,70,70,20.5,8/15/2019 21:44,8/15/2019 21:44,12,8/15/2019 21:45,2131.26197,-9.715322307,9.020010566,-60.7995797,
13,U033,70,70,20.5,8/15/2019 21:46,8/15/2019 21:46,13,8/15/2019 21:47,2038.651385,-12.01516758,8.212099535,-60.817627,
14,VT043,70,70,20.5,8/15/2019 21:49,8/15/2019 21:49,14,8/15/2019 21:49,2011.137665,-10.09995699,7.942921267,-61.44973591,
15,VT004,70,70,20.5,8/15/2019 21:51,8/15/2019 21:51,15,8/15/2019 21:52,2040.670903,-0.772875716,7.777306862,-59.88725838,
16,VT024,70,70,20.5,8/15/2019 21:54,8/15/2019 21:54,16,8/15/2019 21:54,2220.166818,-6.096079427,8.214951261,-60.7157081,
17,VT050,70,70,20.5,8/15/2019 21:56,8/15/2019 21:56,17,8/15/2019 21:56,2096.123404,-5.294618133,7.903568478,-61.13474255,
18,VT020,70,70,20.5,8/15/2019 21:58,8/15/2019 21:58,18,8/15/2019 21:59,2080.538769,-5.503152106,7.634409412,-61.50541999,
19,VT003,70,70,20.5,8/15/2019 22:01,8/15/2019 22:01,19,8/15/2019 22:01,2080.179734,1.793998674,7.910583852,-60.14236514,
20,U036,70,70,20.5,8/15/2019 22:03,8/15/2019 22:03,20,8/15/2019 22:04,1925.322687,-5.607032875,6.934485474,-60.70241481,
21,VT006,70,70,20.5,8/15/2019 22:05,8/15/2019 22:05,21,8/15/2019 22:06,2053.978796,-0.415391721,7.663392339,-60.59714255,
22,U006,70,70,20.5,8/15/2019 22:08,8/15/2019 22:08,22,8/15/2019 22:08,1733.864894,-4.590464569,7.462433691,-60.41445968,
23,VT021,70,70,20.5,8/15/2019 22:10,8/15/2019 22:10,23,8/15/2019 22:11,1878.593603,-5.038616231,7.754243439,-61.4935482,
24,VT015,70,70,20.5,8/15/2019 22:12,8/15/2019 22:12,24,8/15/2019 22:13,2067.513199,-7.479975517,6.766646878,-59.58146433,
