,Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2,delCO2,CH4,delCH4
5,VT007,70,70,20,8/16/2019 18:56,8/16/2019 18:56,5,8/16/2019 18:57,2615.626609,-22.0789833,7.909469294,-58.04231169
6,VT002,70,70,20,8/16/2019 18:59,8/16/2019 18:59,6,8/16/2019 18:59,2450.632703,-21.95124024,8.22263004,-59.15354718
7,VT048,70,70,20,8/16/2019 19:01,8/16/2019 19:01,7,8/16/2019 19:02,2589.679117,-21.61311428,8.198233701,-58.70874861
8,VT035,70,70,20,8/16/2019 19:03,8/16/2019 19:03,8,8/16/2019 19:04,2671.613867,-22.01428053,7.956783354,-60.502733
9,VT011,70,70,20,8/16/2019 19:05,8/16/2019 19:05,9,8/16/2019 19:06,2283.196419,-2.176967042,6.042016361,-57.19471546
10,VT041,70,70,20,8/16/2019 19:06,8/16/2019 19:06,10,8/16/2019 19:06,2286.806404,-2.016245153,6.047396294,-57.10140166
11,VT043,70,70,20,8/16/2019 19:08,8/16/2019 19:08,11,8/16/2019 19:08,1922.731688,-17.3039718,4.292080576,-59.00780994
12,VT014,70,70,20,8/16/2019 19:10,8/16/2019 19:10,12,8/16/2019 19:11,2645.402193,-22.01930007,7.821270929,-61.08541941
13,VT011,70,70,20,8/16/2019 19:13,8/16/2019 19:13,13,8/16/2019 19:13,1911.887718,-7.541503756,4.997624301,-59.36419893
14,VT008,70,70,20,8/16/2019 19:16,8/16/2019 19:16,14,8/16/2019 19:17,1761.075709,-19.39398504,5.886030728,-56.38159143
15,VT040,70,70,20,8/16/2019 19:19,8/16/2019 19:19,15,8/16/2019 19:20,1855.130156,-18.66282203,5.498591913,-59.44727372
16,VT039,70,70,20,8/16/2019 19:22,8/16/2019 19:22,16,8/16/2019 19:22,1646.070869,-15.19200858,3.565572463,-61.53106364
17,VT037,70,70,20,8/16/2019 19:24,8/16/2019 19:24,17,8/16/2019 19:24,1812.550447,-17.71963205,4.194503846,-64.65435379
18,VT004,70,70,20,8/16/2019 19:26,8/16/2019 19:26,18,8/16/2019 19:27,2443.145914,-15.54276535,8.768784218,-56.80543529
19,VT019,70,70,20,8/16/2019 19:29,8/16/2019 19:29,19,8/16/2019 19:29,1566.503933,-16.16835696,3.8691747,-61.02655199
20,VT049,70,70,20,8/16/2019 19:31,8/16/2019 19:31,20,8/16/2019 19:32,2097.346651,-17.50064338,5.107406321,-71.55941639
21,VT009,70,70,20,8/16/2019 19:34,8/16/2019 19:34,21,8/16/2019 19:34,2793.51432,-21.99662072,9.509075215,-64.59931065
